"id","symbol","truncTime","matchType","matchVol","matchPrice","accumulatedVolume","createdAt","updatedAt"
152328758,"VST","1700812753","b","100","2900","15400","2023-11-24T07:59:13.748Z","2023-11-24T07:59:13.748Z"
152328345,"VST","1700812368","unknown","200","2800","15300","2023-11-24T07:52:48.740Z","2023-11-24T07:52:48.740Z"
152327227,"VST","1700811868","b","700","2900","15100","2023-11-24T07:44:29.739Z","2023-11-24T07:44:29.739Z"
152327178,"VST","1700811820","b","1000","2900","14400","2023-11-24T07:43:41.732Z","2023-11-24T07:43:41.732Z"
152327142,"VST","1700811787","b","1000","2900","13400","2023-11-24T07:43:08.730Z","2023-11-24T07:43:08.730Z"
152327110,"VST","1700811754","b","300","2900","12400","2023-11-24T07:42:34.735Z","2023-11-24T07:42:34.735Z"
152327069,"VST","1700811710","b","300","2900","12100","2023-11-24T07:41:50.729Z","2023-11-24T07:41:50.729Z"
152327040,"VST","1700811675","b","100","2900","11800","2023-11-24T07:41:16.728Z","2023-11-24T07:41:16.728Z"
152127149,"VST","1700807856","b","4000","2900","11700","2023-11-24T06:37:36.687Z","2023-11-24T06:37:36.687Z"
152068095,"VST","1700806122","b","2000","2900","7700","2023-11-24T06:08:43.648Z","2023-11-24T06:08:43.648Z"
151983957,"VST","1700796963","unknown","200","2900","5700","2023-11-24T03:36:04.528Z","2023-11-24T03:36:04.528Z"
151983642,"VST","1700796942","b","100","2900","5500","2023-11-24T03:35:43.528Z","2023-11-24T03:35:43.528Z"
151983075,"VST","1700796907","b","100","2900","5400","2023-11-24T03:35:08.525Z","2023-11-24T03:35:08.525Z"
151982704,"VST","1700796885","b","100","2900","5300","2023-11-24T03:34:47.545Z","2023-11-24T03:34:47.545Z"
151982383,"VST","1700796865","b","100","2900","5200","2023-11-24T03:34:27.530Z","2023-11-24T03:34:27.530Z"
151981717,"VST","1700796833","b","100","2900","5100","2023-11-24T03:33:54.530Z","2023-11-24T03:33:54.530Z"
151920491,"VST","1700795004","b","1000","3000","5000","2023-11-24T03:03:26.505Z","2023-11-24T03:03:26.505Z"
151859641,"VST","1700792952","b","100","2900","4000","2023-11-24T02:29:12.472Z","2023-11-24T02:29:12.472Z"
151796550,"VST","1700791873","b","1000","3000","3900","2023-11-24T02:11:14.431Z","2023-11-24T02:11:14.431Z"
151796454,"VST","1700791841","b","200","3000","2900","2023-11-24T02:10:42.431Z","2023-11-24T02:10:42.431Z"
151796415,"VST","1700791828","b","100","3000","2700","2023-11-24T02:10:29.431Z","2023-11-24T02:10:29.431Z"
151796265,"VST","1700791788","b","300","3000","2600","2023-11-24T02:09:49.430Z","2023-11-24T02:09:49.430Z"
151796063,"VST","1700791731","b","300","3000","2300","2023-11-24T02:08:53.431Z","2023-11-24T02:08:53.431Z"
151796020,"VST","1700791719","b","200","3000","2000","2023-11-24T02:08:41.429Z","2023-11-24T02:08:41.429Z"
151795965,"VST","1700791704","b","300","3000","1800","2023-11-24T02:08:26.429Z","2023-11-24T02:08:26.429Z"
151795890,"VST","1700791682","b","300","3000","1500","2023-11-24T02:08:03.429Z","2023-11-24T02:08:03.429Z"
151795795,"VST","1700791655","b","300","3000","1200","2023-11-24T02:07:36.430Z","2023-11-24T02:07:36.430Z"
151795704,"VST","1700791631","b","300","3000","900","2023-11-24T02:07:12.430Z","2023-11-24T02:07:12.430Z"
151795617,"VST","1700791604","b","200","3000","600","2023-11-24T02:06:45.430Z","2023-11-24T02:06:45.430Z"
151795532,"VST","1700791583","b","200","3000","400","2023-11-24T02:06:24.429Z","2023-11-24T02:06:24.429Z"
151795426,"VST","1700791557","b","100","3000","200","2023-11-24T02:05:58.429Z","2023-11-24T02:05:58.429Z"
151795353,"VST","1700791541","b","100","3000","100","2023-11-24T02:05:43.435Z","2023-11-24T02:05:43.435Z"
