"id","symbol","truncTime","matchType","matchVol","matchPrice","accumulatedVolume","createdAt","updatedAt"
152569549,"TV3","1701069004","b","500","11700","24600","2023-11-27T07:10:05.722Z","2023-11-27T07:10:05.722Z"
152563144,"TV3","1701068758","b","100","11700","24100","2023-11-27T07:06:00.715Z","2023-11-27T07:06:00.715Z"
152543047,"TV3","1701067982","b","100","11700","24000","2023-11-27T06:53:04.695Z","2023-11-27T06:53:04.695Z"
152536316,"TV3","1701067636","b","100","11700","23900","2023-11-27T06:47:17.699Z","2023-11-27T06:47:17.699Z"
152536022,"TV3","1701067622","b","5200","11700","23800","2023-11-27T06:47:03.697Z","2023-11-27T06:47:03.697Z"
152411348,"TV3","1701055633","unknown","100","11900","18600","2023-11-27T03:27:14.501Z","2023-11-27T03:27:14.501Z"
152375093,"TV3","1701053341","s","300","12000","18500","2023-11-27T02:49:03.461Z","2023-11-27T02:49:03.461Z"
152372762,"TV3","1701053176","s","700","12000","18200","2023-11-27T02:46:17.449Z","2023-11-27T02:46:17.449Z"
152368869,"TV3","1701052927","b","200","11900","17500","2023-11-27T02:42:08.451Z","2023-11-27T02:42:08.451Z"
152366723,"TV3","1701052777","s","500","11800","17300","2023-11-27T02:39:38.452Z","2023-11-27T02:39:38.452Z"
152366632,"TV3","1701052770","s","200","11700","16800","2023-11-27T02:39:31.451Z","2023-11-27T02:39:31.451Z"
152366125,"TV3","1701052739","b","13300","11700","16600","2023-11-27T02:39:00.458Z","2023-11-27T02:39:00.458Z"
152364658,"TV3","1701052663","s","400","11500","3300","2023-11-27T02:37:43.449Z","2023-11-27T02:37:43.449Z"
152363006,"TV3","1701052567","b","2600","11500","2900","2023-11-27T02:36:08.446Z","2023-11-27T02:36:08.446Z"
152353868,"TV3","1701052113","b","200","11400","300","2023-11-27T02:28:35.445Z","2023-11-27T02:28:35.445Z"
152353045,"TV3","1701052087","b","100","11400","100","2023-11-27T02:28:08.458Z","2023-11-27T02:28:08.458Z"
