"id","symbol","truncTime","matchType","matchVol","matchPrice","accumulatedVolume","createdAt","updatedAt"
153002515,"BAX","1701157516","s","1000","45000","7900","2023-11-28T07:45:18.351Z","2023-11-28T07:45:18.351Z"
152998286,"BAX","1701156554","unknown","300","45000","6900","2023-11-28T07:29:16.350Z","2023-11-28T07:29:16.350Z"
152933918,"BAX","1701154915","unknown","200","45500","6600","2023-11-28T07:01:57.321Z","2023-11-28T07:01:57.321Z"
152927141,"BAX","1701154659","b","200","45900","6400","2023-11-28T06:57:40.312Z","2023-11-28T06:57:40.312Z"
152910457,"BAX","1701154052","unknown","1000","45900","6200","2023-11-28T06:47:34.304Z","2023-11-28T06:47:34.304Z"
152884910,"BAX","1701153363","b","700","45900","5200","2023-11-28T06:36:04.308Z","2023-11-28T06:36:04.308Z"
152878744,"BAX","1701153100","s","300","45900","4500","2023-11-28T06:31:41.305Z","2023-11-28T06:31:41.305Z"
152863468,"BAX","1701152644","b","1000","45900","4200","2023-11-28T06:24:05.309Z","2023-11-28T06:24:05.309Z"
152850309,"BAX","1701152175","unknown","1000","45900","3200","2023-11-28T06:16:16.285Z","2023-11-28T06:16:16.285Z"
152840507,"BAX","1701151748","b","100","45900","2200","2023-11-28T06:09:09.283Z","2023-11-28T06:09:09.283Z"
152840070,"BAX","1701151729","b","300","45900","2100","2023-11-28T06:08:51.291Z","2023-11-28T06:08:51.291Z"
152839354,"BAX","1701151699","b","300","45900","1800","2023-11-28T06:08:20.286Z","2023-11-28T06:08:20.286Z"
152837073,"BAX","1701151618","b","300","45900","1500","2023-11-28T06:07:00.285Z","2023-11-28T06:07:00.285Z"
152834682,"BAX","1701151534","b","400","45900","1200","2023-11-28T06:05:36.288Z","2023-11-28T06:05:36.288Z"
152830473,"BAX","1701151380","s","600","45900","800","2023-11-28T06:03:01.307Z","2023-11-28T06:03:01.307Z"
152827630,"BAX","1701151269","unknown","100","48000","200","2023-11-28T06:01:10.278Z","2023-11-28T06:01:10.278Z"
152825217,"BAX","1701151214","b","100","48800","100","2023-11-28T06:00:16.323Z","2023-11-28T06:00:16.323Z"
