"id","symbol","truncTime","matchType","matchVol","matchPrice","accumulatedVolume","createdAt","updatedAt"
154028453,"DDV","1701417154","b","1000","9600","213500","2023-12-01T07:52:35.883Z","2023-12-01T07:52:35.883Z"
154028336,"DDV","1701416993","b","3000","9600","212500","2023-12-01T07:49:54.881Z","2023-12-01T07:49:54.881Z"
154028224,"DDV","1701416843","b","100","9600","209500","2023-12-01T07:47:24.878Z","2023-12-01T07:47:24.878Z"
154027337,"DDV","1701416371","s","600","9500","209400","2023-12-01T07:39:31.872Z","2023-12-01T07:39:31.872Z"
154027299,"DDV","1701416301","s","100","9500","208800","2023-12-01T07:38:22.873Z","2023-12-01T07:38:22.873Z"
154018537,"DDV","1701415619","s","500","9500","208700","2023-12-01T07:26:59.868Z","2023-12-01T07:26:59.868Z"
154007502,"DDV","1701415341","b","800","9600","208200","2023-12-01T07:22:21.858Z","2023-12-01T07:22:21.858Z"
154002946,"DDV","1701415241","b","1000","9600","207400","2023-12-01T07:20:42.867Z","2023-12-01T07:20:42.867Z"
154002646,"DDV","1701415236","b","1000","9600","206400","2023-12-01T07:20:36.859Z","2023-12-01T07:20:36.859Z"
154002534,"DDV","1701415233","b","1000","9600","205400","2023-12-01T07:20:33.856Z","2023-12-01T07:20:33.856Z"
154000149,"DDV","1701415188","b","200","9600","204400","2023-12-01T07:19:49.860Z","2023-12-01T07:19:49.860Z"
153997581,"DDV","1701415142","b","2000","9600","204200","2023-12-01T07:19:04.864Z","2023-12-01T07:19:04.864Z"
153991612,"DDV","1701415064","s","600","9500","202200","2023-12-01T07:17:45.860Z","2023-12-01T07:17:45.860Z"
153991099,"DDV","1701415056","s","1300","9500","201600","2023-12-01T07:17:37.856Z","2023-12-01T07:17:37.856Z"
153979923,"DDV","1701414934","b","1200","9500","200300","2023-12-01T07:15:35.860Z","2023-12-01T07:15:35.860Z"
153975120,"DDV","1701414768","b","600","9500","199100","2023-12-01T07:12:49.852Z","2023-12-01T07:12:49.852Z"
153974693,"DDV","1701414749","b","1000","9500","198500","2023-12-01T07:12:30.848Z","2023-12-01T07:12:30.848Z"
153974590,"DDV","1701414745","b","400","9500","197500","2023-12-01T07:12:27.857Z","2023-12-01T07:12:27.857Z"
153974427,"DDV","1701414739","b","50000","9500","197100","2023-12-01T07:12:20.852Z","2023-12-01T07:12:20.852Z"
153974044,"DDV","1701414724","b","10000","9500","147100","2023-12-01T07:12:05.856Z","2023-12-01T07:12:05.856Z"
153970298,"DDV","1701414582","b","400","9500","137100","2023-12-01T07:09:43.854Z","2023-12-01T07:09:43.854Z"
153969666,"DDV","1701414564","b","300","9500","136700","2023-12-01T07:09:25.849Z","2023-12-01T07:09:25.849Z"
153968449,"DDV","1701414536","b","1000","9500","136400","2023-12-01T07:08:57.853Z","2023-12-01T07:08:57.853Z"
153967568,"DDV","1701414512","b","400","9500","135400","2023-12-01T07:08:33.855Z","2023-12-01T07:08:33.855Z"
153965867,"DDV","1701414475","b","100","9500","135000","2023-12-01T07:07:56.853Z","2023-12-01T07:07:56.853Z"
153962434,"DDV","1701414413","b","100","9500","134900","2023-12-01T07:06:53.859Z","2023-12-01T07:06:53.859Z"
153962020,"DDV","1701414405","b","5000","9500","134800","2023-12-01T07:06:45.856Z","2023-12-01T07:06:45.856Z"
153961132,"DDV","1701414394","b","100","9500","129800","2023-12-01T07:06:35.848Z","2023-12-01T07:06:35.848Z"
153942037,"DDV","1701413963","b","200","9500","129700","2023-12-01T06:59:23.846Z","2023-12-01T06:59:23.846Z"
153939053,"DDV","1701413837","s","100","9400","129500","2023-12-01T06:57:18.844Z","2023-12-01T06:57:18.844Z"
153906601,"DDV","1701412977","s","100","9400","129400","2023-12-01T06:42:58.834Z","2023-12-01T06:42:58.834Z"
153901233,"DDV","1701412723","s","2500","9500","129300","2023-12-01T06:38:44.822Z","2023-12-01T06:38:44.822Z"
153901012,"DDV","1701412713","s","1000","9500","126800","2023-12-01T06:38:34.822Z","2023-12-01T06:38:34.822Z"
153885700,"DDV","1701412085","s","700","9500","125800","2023-12-01T06:28:06.809Z","2023-12-01T06:28:06.809Z"
153882517,"DDV","1701411939","s","200","9500","125100","2023-12-01T06:25:40.806Z","2023-12-01T06:25:40.806Z"
153880283,"DDV","1701411838","s","200","9500","124900","2023-12-01T06:23:59.800Z","2023-12-01T06:23:59.800Z"
153879994,"DDV","1701411823","s","700","9500","124700","2023-12-01T06:23:44.804Z","2023-12-01T06:23:44.804Z"
153875736,"DDV","1701411637","b","500","9500","124000","2023-12-01T06:20:38.797Z","2023-12-01T06:20:38.797Z"
153875714,"DDV","1701411636","b","100","9500","123500","2023-12-01T06:20:36.796Z","2023-12-01T06:20:36.796Z"
153874780,"DDV","1701411594","b","2000","9500","123400","2023-12-01T06:19:55.798Z","2023-12-01T06:19:55.798Z"
153873621,"DDV","1701411554","b","21600","9500","121400","2023-12-01T06:19:15.808Z","2023-12-01T06:19:15.808Z"
153871936,"DDV","1701411481","b","100","9500","99800","2023-12-01T06:18:01.802Z","2023-12-01T06:18:01.802Z"
153863032,"DDV","1701411114","b","200","9500","99700","2023-12-01T06:11:54.794Z","2023-12-01T06:11:54.794Z"
153862227,"DDV","1701411078","b","300","9500","99500","2023-12-01T06:11:19.794Z","2023-12-01T06:11:19.794Z"
153844575,"DDV","1701410416","b","1200","9500","99200","2023-12-01T06:00:19.790Z","2023-12-01T06:00:19.790Z"
153825778,"DDV","1701404025","b","200","9500","98000","2023-12-01T04:13:47.673Z","2023-12-01T04:13:47.673Z"
153825060,"DDV","1701403950","b","5000","9500","97800","2023-12-01T04:12:32.673Z","2023-12-01T04:12:32.673Z"
153804601,"DDV","1701402559","s","200","9500","92800","2023-12-01T03:49:20.674Z","2023-12-01T03:49:20.674Z"
153804279,"DDV","1701402548","s","1000","9500","92600","2023-12-01T03:49:09.665Z","2023-12-01T03:49:09.665Z"
153803912,"DDV","1701402523","s","6500","9500","91600","2023-12-01T03:48:44.667Z","2023-12-01T03:48:44.667Z"
153801348,"DDV","1701402358","s","400","9500","85100","2023-12-01T03:45:59.660Z","2023-12-01T03:45:59.660Z"
153800676,"DDV","1701402322","s","1000","9500","84700","2023-12-01T03:45:23.662Z","2023-12-01T03:45:23.662Z"
153800173,"DDV","1701402300","s","3000","9500","83700","2023-12-01T03:45:01.674Z","2023-12-01T03:45:01.674Z"
153800051,"DDV","1701402290","s","400","9500","80700","2023-12-01T03:44:52.658Z","2023-12-01T03:44:52.658Z"
153789633,"DDV","1701401481","b","2000","9500","80300","2023-12-01T03:31:23.641Z","2023-12-01T03:31:23.641Z"
153779319,"DDV","1701400894","s","1000","9400","78300","2023-12-01T03:21:35.630Z","2023-12-01T03:21:35.630Z"
153768963,"DDV","1701400461","s","1000","9400","77300","2023-12-01T03:14:22.628Z","2023-12-01T03:14:22.628Z"
153768114,"DDV","1701400424","s","33000","9400","76300","2023-12-01T03:13:45.623Z","2023-12-01T03:13:45.623Z"
153764708,"DDV","1701400275","s","500","9500","43300","2023-12-01T03:11:16.630Z","2023-12-01T03:11:16.630Z"
153760237,"DDV","1701400022","s","17000","9500","42800","2023-12-01T03:07:04.617Z","2023-12-01T03:07:04.617Z"
153754663,"DDV","1701399668","s","500","9500","25800","2023-12-01T03:01:10.613Z","2023-12-01T03:01:10.613Z"
153749549,"DDV","1701399329","s","300","9500","25300","2023-12-01T02:55:31.609Z","2023-12-01T02:55:31.609Z"
153737746,"DDV","1701398726","unknown","400","9500","25000","2023-12-01T02:45:27.603Z","2023-12-01T02:45:27.603Z"
153736154,"DDV","1701398663","b","1500","9500","24600","2023-12-01T02:44:25.599Z","2023-12-01T02:44:25.599Z"
153735650,"DDV","1701398635","b","1000","9500","23100","2023-12-01T02:43:56.598Z","2023-12-01T02:43:56.598Z"
153735389,"DDV","1701398622","b","100","9500","22100","2023-12-01T02:43:43.605Z","2023-12-01T02:43:43.605Z"
153731445,"DDV","1701398416","b","2600","9500","22000","2023-12-01T02:40:17.596Z","2023-12-01T02:40:17.596Z"
153731046,"DDV","1701398393","b","1500","9500","19400","2023-12-01T02:39:54.597Z","2023-12-01T02:39:54.597Z"
153729494,"DDV","1701398298","b","300","9500","17900","2023-12-01T02:38:18.602Z","2023-12-01T02:38:18.602Z"
153726926,"DDV","1701398164","b","3600","9500","17600","2023-12-01T02:36:05.599Z","2023-12-01T02:36:05.599Z"
153719028,"DDV","1701397803","unknown","500","9500","14000","2023-12-01T02:30:05.594Z","2023-12-01T02:30:05.594Z"
153714923,"DDV","1701397637","s","100","9500","13500","2023-12-01T02:27:19.595Z","2023-12-01T02:27:19.595Z"
153714854,"DDV","1701397634","b","400","9500","13400","2023-12-01T02:27:15.601Z","2023-12-01T02:27:15.601Z"
153700629,"DDV","1701397216","s","5000","9500","13000","2023-12-01T02:20:17.594Z","2023-12-01T02:20:17.594Z"
153697178,"DDV","1701397093","b","2200","9500","8000","2023-12-01T02:18:15.587Z","2023-12-01T02:18:15.587Z"
153696407,"DDV","1701397066","b","4600","9500","5800","2023-12-01T02:17:48.589Z","2023-12-01T02:17:48.589Z"
153690530,"DDV","1701396423","b","1100","9500","1200","2023-12-01T02:07:04.577Z","2023-12-01T02:07:04.577Z"
153690343,"DDV","1701396337","b","100","9500","100","2023-12-01T02:05:38.575Z","2023-12-01T02:05:38.575Z"
