"id","symbol","truncTime","matchType","matchVol","matchPrice","accumulatedVolume","createdAt","updatedAt"
154028664,"MVC","1701417478","b","100","10900","7500","2023-12-01T07:57:58.887Z","2023-12-01T07:57:58.887Z"
153961785,"MVC","1701414402","unknown","200","10600","7400","2023-12-01T07:06:42.853Z","2023-12-01T07:06:42.853Z"
153951101,"MVC","1701414283","b","300","10600","7200","2023-12-01T07:04:44.869Z","2023-12-01T07:04:44.869Z"
153946972,"MVC","1701414207","b","500","10600","6900","2023-12-01T07:03:27.844Z","2023-12-01T07:03:27.844Z"
153942600,"MVC","1701413989","b","100","10600","6400","2023-12-01T06:59:50.842Z","2023-12-01T06:59:50.842Z"
153931770,"MVC","1701413628","s","3900","10600","6300","2023-12-01T06:53:48.844Z","2023-12-01T06:53:48.844Z"
153882437,"MVC","1701411933","unknown","1200","10700","2400","2023-12-01T06:25:34.803Z","2023-12-01T06:25:34.803Z"
153825434,"MVC","1701403991","unknown","100","10800","1200","2023-12-01T04:13:12.671Z","2023-12-01T04:13:12.671Z"
153795394,"MVC","1701401946","b","100","11000","1100","2023-12-01T03:39:07.652Z","2023-12-01T03:39:07.652Z"
153788449,"MVC","1701401401","b","400","11000","1000","2023-12-01T03:30:01.637Z","2023-12-01T03:30:01.637Z"
153763265,"MVC","1701400216","b","400","11000","600","2023-12-01T03:10:17.625Z","2023-12-01T03:10:17.625Z"
153756380,"MVC","1701399789","b","200","11000","200","2023-12-01T03:03:10.615Z","2023-12-01T03:03:10.615Z"
