"id","symbol","truncTime","matchType","matchVol","matchPrice","accumulatedVolume","createdAt","updatedAt"
154607079,"IDJ","1701675911","s","23800","6200","2286900","2023-12-04T07:45:14.565Z","2023-12-04T07:45:14.565Z"
154606824,"IDJ","1701675903","unknown","41400","6200","2263100","2023-12-04T07:45:04.626Z","2023-12-04T07:45:04.626Z"
154604696,"IDJ","1701674982","b","600","6300","2221700","2023-12-04T07:29:44.639Z","2023-12-04T07:29:44.639Z"
154590738,"IDJ","1701674780","b","1000","6300","2221100","2023-12-04T07:26:22.636Z","2023-12-04T07:26:22.636Z"
154588692,"IDJ","1701674750","b","2500","6300","2220100","2023-12-04T07:25:52.564Z","2023-12-04T07:25:52.564Z"
154586698,"IDJ","1701674717","b","100","6300","2217600","2023-12-04T07:25:19.570Z","2023-12-04T07:25:19.570Z"
154576865,"IDJ","1701674535","b","21400","6300","2217500","2023-12-04T07:22:17.703Z","2023-12-04T07:22:17.703Z"
154574851,"IDJ","1701674493","s","200","6200","2196100","2023-12-04T07:21:35.605Z","2023-12-04T07:21:35.605Z"
154573492,"IDJ","1701674469","b","100","6300","2195900","2023-12-04T07:21:10.675Z","2023-12-04T07:21:10.675Z"
154572089,"IDJ","1701674442","b","2500","6300","2195800","2023-12-04T07:20:44.561Z","2023-12-04T07:20:44.561Z"
154571986,"IDJ","1701674440","b","400","6300","2193300","2023-12-04T07:20:41.579Z","2023-12-04T07:20:41.579Z"
154569731,"IDJ","1701674399","b","2000","6300","2192900","2023-12-04T07:20:01.591Z","2023-12-04T07:20:01.591Z"
154566312,"IDJ","1701674336","b","100","6300","2190900","2023-12-04T07:18:58.639Z","2023-12-04T07:18:58.639Z"
154562750,"IDJ","1701674277","b","100","6300","2190800","2023-12-04T07:17:58.621Z","2023-12-04T07:17:58.621Z"
154559913,"IDJ","1701674225","b","100","6300","2190700","2023-12-04T07:17:07.582Z","2023-12-04T07:17:07.582Z"
154559412,"IDJ","1701674217","b","800","6300","2190600","2023-12-04T07:16:58.585Z","2023-12-04T07:16:58.585Z"
154547104,"IDJ","1701674041","s","1000","6200","2189800","2023-12-04T07:14:02.623Z","2023-12-04T07:14:02.623Z"
154545105,"IDJ","1701674003","b","4600","6300","2188800","2023-12-04T07:13:25.625Z","2023-12-04T07:13:25.625Z"
154544104,"IDJ","1701673988","b","5000","6300","2184200","2023-12-04T07:13:09.720Z","2023-12-04T07:13:09.720Z"
154535725,"IDJ","1701673888","b","100","6300","2179200","2023-12-04T07:11:30.745Z","2023-12-04T07:11:30.745Z"
154533552,"IDJ","1701673849","b","200","6300","2179100","2023-12-04T07:10:50.611Z","2023-12-04T07:10:50.611Z"
154528641,"IDJ","1701673751","b","100","6300","2178900","2023-12-04T07:09:12.648Z","2023-12-04T07:09:12.648Z"
154524792,"IDJ","1701673676","s","200","6200","2178800","2023-12-04T07:07:57.617Z","2023-12-04T07:07:57.617Z"
154524450,"IDJ","1701673670","b","500","6300","2178600","2023-12-04T07:07:51.664Z","2023-12-04T07:07:51.664Z"
154522079,"IDJ","1701673626","s","1000","6200","2178100","2023-12-04T07:07:08.615Z","2023-12-04T07:07:08.615Z"
154518530,"IDJ","1701673560","b","10000","6300","2177100","2023-12-04T07:06:01.612Z","2023-12-04T07:06:01.612Z"
154512034,"IDJ","1701673440","b","500","6300","2167100","2023-12-04T07:04:02.623Z","2023-12-04T07:04:02.623Z"
154507860,"IDJ","1701673355","s","1000","6200","2166600","2023-12-04T07:02:37.628Z","2023-12-04T07:02:37.628Z"
154505564,"IDJ","1701673312","b","700","6300","2165600","2023-12-04T07:01:54.613Z","2023-12-04T07:01:54.613Z"
154505514,"IDJ","1701673311","b","2000","6300","2164900","2023-12-04T07:01:53.602Z","2023-12-04T07:01:53.602Z"
154504869,"IDJ","1701673302","b","1000","6300","2162900","2023-12-04T07:01:44.630Z","2023-12-04T07:01:44.630Z"
154502245,"IDJ","1701673264","b","1000","6300","2161900","2023-12-04T07:01:06.673Z","2023-12-04T07:01:06.673Z"
154494429,"IDJ","1701673139","b","2300","6300","2160900","2023-12-04T06:59:01.663Z","2023-12-04T06:59:01.663Z"
154493254,"IDJ","1701673121","b","100","6300","2158600","2023-12-04T06:58:43.625Z","2023-12-04T06:58:43.625Z"
154487581,"IDJ","1701673033","b","200","6300","2158500","2023-12-04T06:57:15.669Z","2023-12-04T06:57:15.669Z"
154480079,"IDJ","1701672872","b","1000","6300","2158300","2023-12-04T06:54:34.597Z","2023-12-04T06:54:34.597Z"
154479935,"IDJ","1701672868","b","200","6300","2157300","2023-12-04T06:54:30.593Z","2023-12-04T06:54:30.593Z"
154475765,"IDJ","1701672772","b","100","6300","2157100","2023-12-04T06:52:54.622Z","2023-12-04T06:52:54.622Z"
154463802,"IDJ","1701672501","s","2000","6200","2157000","2023-12-04T06:48:23.599Z","2023-12-04T06:48:23.599Z"
154461884,"IDJ","1701672457","b","3500","6300","2155000","2023-12-04T06:47:38.588Z","2023-12-04T06:47:38.588Z"
154461551,"IDJ","1701672449","s","100","6200","2151500","2023-12-04T06:47:32.578Z","2023-12-04T06:47:32.578Z"
154461221,"IDJ","1701672439","s","100","6200","2151400","2023-12-04T06:47:21.589Z","2023-12-04T06:47:21.589Z"
154458941,"IDJ","1701672375","s","2000","6200","2151300","2023-12-04T06:46:17.570Z","2023-12-04T06:46:17.570Z"
154458896,"IDJ","1701672374","s","4000","6200","2149300","2023-12-04T06:46:16.688Z","2023-12-04T06:46:16.688Z"
154458822,"IDJ","1701672373","s","400","6200","2145300","2023-12-04T06:46:15.582Z","2023-12-04T06:46:15.582Z"
154458301,"IDJ","1701672364","s","4500","6200","2144900","2023-12-04T06:46:06.606Z","2023-12-04T06:46:06.606Z"
154458089,"IDJ","1701672359","s","2200","6200","2140400","2023-12-04T06:46:00.577Z","2023-12-04T06:46:00.577Z"
154457675,"IDJ","1701672350","s","100000","6200","2138200","2023-12-04T06:45:51.576Z","2023-12-04T06:45:51.576Z"
154456635,"IDJ","1701672321","s","2400","6200","2038200","2023-12-04T06:45:23.565Z","2023-12-04T06:45:23.565Z"
154454713,"IDJ","1701672268","s","10000","6200","2035800","2023-12-04T06:44:30.557Z","2023-12-04T06:44:30.557Z"
154449866,"IDJ","1701672153","s","300","6200","2025800","2023-12-04T06:42:34.564Z","2023-12-04T06:42:34.564Z"
154449527,"IDJ","1701672148","b","1700","6300","2025500","2023-12-04T06:42:30.671Z","2023-12-04T06:42:30.671Z"
154449213,"IDJ","1701672141","b","200","6300","2023800","2023-12-04T06:42:23.607Z","2023-12-04T06:42:23.607Z"
