"id","symbol","truncTime","matchType","matchVol","matchPrice","accumulatedVolume","createdAt","updatedAt"
154835419,"AIC","1701749930","b","2500","13900","16700","2023-12-05T04:18:51.758Z","2023-12-05T04:18:51.758Z"
154766955,"AIC","1701747158","b","2000","14000","14200","2023-12-05T03:32:39.687Z","2023-12-05T03:32:39.687Z"
154753713,"AIC","1701746670","b","800","14000","12200","2023-12-05T03:24:31.651Z","2023-12-05T03:24:31.651Z"
154753359,"AIC","1701746656","b","1000","14000","11400","2023-12-05T03:24:17.651Z","2023-12-05T03:24:17.651Z"
154735380,"AIC","1701746066","b","500","14000","10400","2023-12-05T03:14:26.645Z","2023-12-05T03:14:26.645Z"
154729519,"AIC","1701745869","b","4000","14000","9900","2023-12-05T03:11:10.661Z","2023-12-05T03:11:10.661Z"
154728158,"AIC","1701745826","b","1000","14000","5900","2023-12-05T03:10:27.628Z","2023-12-05T03:10:27.628Z"
154717816,"AIC","1701745446","s","2700","13000","4900","2023-12-05T03:04:07.630Z","2023-12-05T03:04:07.630Z"
154654245,"AIC","1701743452","b","700","13000","2200","2023-12-05T02:30:54.604Z","2023-12-05T02:30:54.604Z"
154653321,"AIC","1701743430","b","1500","13000","1500","2023-12-05T02:30:31.594Z","2023-12-05T02:30:31.594Z"
