"id","symbol","truncTime","matchType","matchVol","matchPrice","accumulatedVolume","createdAt","updatedAt"
155071845,"VNM","1701762293","unknown","88800","68100","2302100","2023-12-05T07:45:05.883Z","2023-12-05T07:45:05.883Z"
155070256,"VNM","1701761379","b","500","68300","2213300","2023-12-05T07:29:51.863Z","2023-12-05T07:29:51.863Z"
155068632,"VNM","1701761361","b","500","68300","2212800","2023-12-05T07:29:33.888Z","2023-12-05T07:29:33.888Z"
155067344,"VNM","1701761348","b","300","68300","2212300","2023-12-05T07:29:20.872Z","2023-12-05T07:29:20.872Z"
155067343,"VNM","1701761348","b","100","68300","2212300","2023-12-05T07:29:20.872Z","2023-12-05T07:29:20.872Z"
155065286,"VNM","1701761326","s","4800","68100","2211900","2023-12-05T07:28:58.883Z","2023-12-05T07:28:58.883Z"
155065285,"VNM","1701761326","s","1000","68200","2211900","2023-12-05T07:28:58.883Z","2023-12-05T07:28:58.883Z"
155065284,"VNM","1701761326","s","1000","68200","2211900","2023-12-05T07:28:58.883Z","2023-12-05T07:28:58.883Z"
155065283,"VNM","1701761326","s","200","68200","2211900","2023-12-05T07:28:58.883Z","2023-12-05T07:28:58.883Z"
155064234,"VNM","1701761313","b","100","68300","2204900","2023-12-05T07:28:45.852Z","2023-12-05T07:28:45.852Z"
155063691,"VNM","1701761306","b","100","68200","2204800","2023-12-05T07:28:38.869Z","2023-12-05T07:28:38.869Z"
155063690,"VNM","1701761306","b","500","68200","2204800","2023-12-05T07:28:38.869Z","2023-12-05T07:28:38.869Z"
155063689,"VNM","1701761306","b","100","68200","2204800","2023-12-05T07:28:38.869Z","2023-12-05T07:28:38.869Z"
155063603,"VNM","1701761305","s","1200","68100","2204100","2023-12-05T07:28:37.930Z","2023-12-05T07:28:37.930Z"
155063012,"VNM","1701761300","s","200","68100","2202900","2023-12-05T07:28:32.865Z","2023-12-05T07:28:32.865Z"
155062886,"VNM","1701761298","b","100","68200","2202700","2023-12-05T07:28:30.847Z","2023-12-05T07:28:30.847Z"
155062803,"VNM","1701761296","b","200","68200","2202600","2023-12-05T07:28:28.886Z","2023-12-05T07:28:28.886Z"
155062802,"VNM","1701761296","b","1800","68200","2202600","2023-12-05T07:28:28.886Z","2023-12-05T07:28:28.886Z"
155062380,"VNM","1701761290","b","4000","68200","2200600","2023-12-05T07:28:22.880Z","2023-12-05T07:28:22.880Z"
155061988,"VNM","1701761285","b","100","68200","2196600","2023-12-05T07:28:17.909Z","2023-12-05T07:28:17.909Z"
155061987,"VNM","1701761285","b","900","68200","2196600","2023-12-05T07:28:17.909Z","2023-12-05T07:28:17.909Z"
155061784,"VNM","1701761284","b","100","68200","2195600","2023-12-05T07:28:16.904Z","2023-12-05T07:28:16.904Z"
155061130,"VNM","1701761278","s","1400","68100","2194100","2023-12-05T07:28:10.862Z","2023-12-05T07:28:10.862Z"
155060649,"VNM","1701761273","s","1400","68100","2194100","2023-12-05T07:28:05.862Z","2023-12-05T07:28:05.862Z"
155059891,"VNM","1701761264","b","300","68200","2192700","2023-12-05T07:27:56.892Z","2023-12-05T07:27:56.892Z"
155059691,"VNM","1701761261","s","100","68100","2192400","2023-12-05T07:27:53.894Z","2023-12-05T07:27:53.894Z"
