"id","symbol","truncTime","matchType","matchVol","matchPrice","accumulatedVolume","createdAt","updatedAt"
155515500,"TLG","1701848693","unknown","2200","50400","15800","2023-12-06T07:45:06.558Z","2023-12-06T07:45:06.558Z"
155510634,"TLG","1701847731","b","700","49950","13600","2023-12-06T07:29:04.594Z","2023-12-06T07:29:04.594Z"
155510084,"TLG","1701847724","b","500","49950","12900","2023-12-06T07:28:57.522Z","2023-12-06T07:28:57.522Z"
155508579,"TLG","1701847699","b","1000","49950","12400","2023-12-06T07:28:32.499Z","2023-12-06T07:28:32.499Z"
155508516,"TLG","1701847698","s","200","49900","11400","2023-12-06T07:28:31.508Z","2023-12-06T07:28:31.508Z"
155508515,"TLG","1701847698","s","100","49900","11400","2023-12-06T07:28:31.508Z","2023-12-06T07:28:31.508Z"
155507233,"TLG","1701847678","s","200","49950","10900","2023-12-06T07:28:12.506Z","2023-12-06T07:28:12.506Z"
155463601,"TLG","1701847020","s","100","49900","10900","2023-12-06T07:17:14.448Z","2023-12-06T07:17:14.448Z"
155461237,"TLG","1701846952","s","100","49900","10800","2023-12-06T07:16:05.456Z","2023-12-06T07:16:05.456Z"
155374066,"TLG","1701844718","s","200","49850","10700","2023-12-06T06:38:51.465Z","2023-12-06T06:38:51.465Z"
155374065,"TLG","1701844718","s","200","49850","10700","2023-12-06T06:38:51.465Z","2023-12-06T06:38:51.465Z"
155374064,"TLG","1701844718","s","500","49850","10700","2023-12-06T06:38:51.465Z","2023-12-06T06:38:51.465Z"
155374063,"TLG","1701844718","s","600","49850","10700","2023-12-06T06:38:51.465Z","2023-12-06T06:38:51.465Z"
155368289,"TLG","1701844582","s","100","49850","9200","2023-12-06T06:36:35.466Z","2023-12-06T06:36:35.466Z"
155363590,"TLG","1701844447","s","100","49850","9100","2023-12-06T06:34:21.457Z","2023-12-06T06:34:21.457Z"
155356182,"TLG","1701844152","s","100","49850","9000","2023-12-06T06:29:26.495Z","2023-12-06T06:29:26.495Z"
155347126,"TLG","1701843835","s","100","49850","8900","2023-12-06T06:24:08.430Z","2023-12-06T06:24:08.430Z"
155347125,"TLG","1701843835","s","200","49850","8900","2023-12-06T06:24:08.430Z","2023-12-06T06:24:08.430Z"
155346592,"TLG","1701843815","b","200","50100","8400","2023-12-06T06:23:48.421Z","2023-12-06T06:23:48.421Z"
155322978,"TLG","1701843098","s","300","49850","8100","2023-12-06T06:11:52.428Z","2023-12-06T06:11:52.428Z"
155322970,"TLG","1701843098","s","100","49850","7900","2023-12-06T06:11:52.428Z","2023-12-06T06:11:52.428Z"
155322969,"TLG","1701843098","s","100","49900","7900","2023-12-06T06:11:52.428Z","2023-12-06T06:11:52.428Z"
155314125,"TLG","1701842786","s","1900","49850","7900","2023-12-06T06:06:39.414Z","2023-12-06T06:06:39.414Z"
155314124,"TLG","1701842786","s","500","49850","7900","2023-12-06T06:06:39.414Z","2023-12-06T06:06:39.414Z"
155314123,"TLG","1701842786","s","100","50000","7900","2023-12-06T06:06:39.414Z","2023-12-06T06:06:39.414Z"
155247521,"TLG","1701834799","b","100","50200","5300","2023-12-06T03:53:31.248Z","2023-12-06T03:53:31.248Z"
155238585,"TLG","1701834514","s","100","49800","5300","2023-12-06T03:48:47.250Z","2023-12-06T03:48:47.250Z"
155238258,"TLG","1701834500","s","400","49800","5200","2023-12-06T03:48:33.233Z","2023-12-06T03:48:33.233Z"
155238257,"TLG","1701834500","s","300","49800","5200","2023-12-06T03:48:33.233Z","2023-12-06T03:48:33.233Z"
