"id","symbol","truncTime","matchType","matchVol","matchPrice","accumulatedVolume","createdAt","updatedAt"
155516652,"VLC","1701849592","b","200","16700","430500","2023-12-06T07:59:54.459Z","2023-12-06T07:59:54.459Z"
155516648,"VLC","1701849590","b","1000","16700","430300","2023-12-06T07:59:52.460Z","2023-12-06T07:59:52.460Z"
155516494,"VLC","1701849502","s","1500","16700","429300","2023-12-06T07:58:23.465Z","2023-12-06T07:58:23.465Z"
155515011,"VLC","1701848431","unknown","300","16700","427800","2023-12-06T07:40:32.519Z","2023-12-06T07:40:32.519Z"
155514989,"VLC","1701848398","s","1700","16700","427500","2023-12-06T07:39:59.513Z","2023-12-06T07:39:59.513Z"
155514830,"VLC","1701848159","b","300","16700","425800","2023-12-06T07:36:00.502Z","2023-12-06T07:36:00.502Z"
155514802,"VLC","1701848117","b","600","16700","425500","2023-12-06T07:35:18.500Z","2023-12-06T07:35:18.500Z"
155514760,"VLC","1701848075","b","100","16700","424900","2023-12-06T07:34:36.500Z","2023-12-06T07:34:36.500Z"
155514697,"VLC","1701848007","b","2000","16700","424800","2023-12-06T07:33:27.494Z","2023-12-06T07:33:27.494Z"
155513366,"VLC","1701847782","s","5000","16700","422800","2023-12-06T07:29:44.545Z","2023-12-06T07:29:44.545Z"
155510949,"VLC","1701847747","s","600","16700","417800","2023-12-06T07:29:09.509Z","2023-12-06T07:29:09.509Z"
155509291,"VLC","1701847724","s","1000","16700","417200","2023-12-06T07:28:45.529Z","2023-12-06T07:28:45.529Z"
155503828,"VLC","1701847638","b","100","16700","416200","2023-12-06T07:27:20.517Z","2023-12-06T07:27:20.517Z"
155494743,"VLC","1701847485","unknown","500","16700","416100","2023-12-06T07:24:47.488Z","2023-12-06T07:24:47.488Z"
155485937,"VLC","1701847383","b","3000","16700","415600","2023-12-06T07:23:05.541Z","2023-12-06T07:23:05.541Z"
