"Stockcode","Package","TradingDate","Price","Vol","TotalVol","TotalVal","Change","IsBuy","PerChange"
"HAX",144425,"/Date(1700120701000)/",14000,16200,102800,1443000000,0,true,0
"HAX",142914,"/Date(1700119790000)/",14100,2000,86600,1216000000,100,false,0.71
"HAX",142839,"/Date(1700119755000)/",14000,1000,84600,1188000000,0,true,0
"HAX",142722,"/Date(1700119678000)/",14000,100,83600,1174000000,0,true,0
"HAX",142412,"/Date(1700119488000)/",14000,1000,83500,1172000000,0,false,0
"HAX",142412,"/Date(1700119488000)/",14000,500,82500,1158000000,0,false,0
"HAX",142412,"/Date(1700119488000)/",14000,4600,82000,1151000000,0,false,0
"HAX",142403,"/Date(1700119477000)/",14000,100,77400,1087000000,0,false,0
"HAX",142359,"/Date(1700119477000)/",14000,100,77300,1086000000,0,false,0
"HAX",142259,"/Date(1700119413000)/",14000,100,77200,1084000000,0,false,0
"HAX",141931,"/Date(1700119207000)/",13950,600,77100,1083000000,-50,true,-0.36
"HAX",141931,"/Date(1700119207000)/",13950,1800,76500,1074000000,-50,true,-0.36
"HAX",141931,"/Date(1700119205000)/",14000,100,74700,1049000000,0,false,0
"HAX",141707,"/Date(1700119061000)/",14000,500,74600,1048000000,0,true,0
"HAX",141707,"/Date(1700119061000)/",14000,500,74100,1041000000,0,true,0
"HAX",140734,"/Date(1700118487000)/",14000,100,73600,1034000000,0,true,0
"HAX",140500,"/Date(1700118335000)/",14000,200,73500,1032000000,0,true,0
"HAX",140500,"/Date(1700118335000)/",14000,700,73300,1030000000,0,true,0
"HAX",140500,"/Date(1700118335000)/",14000,100,72600,1020000000,0,true,0
"HAX",140500,"/Date(1700118335000)/",14000,1000,72500,1018000000,0,true,0
"HAX",140500,"/Date(1700118335000)/",14000,100,71500,1004000000,0,true,0
"HAX",140500,"/Date(1700118335000)/",14000,400,71400,1003000000,0,true,0
"HAX",140500,"/Date(1700118335000)/",14050,200,71000,997000000,50,true,0.36
"HAX",140500,"/Date(1700118335000)/",14050,500,70800,995000000,50,true,0.36
"HAX",140500,"/Date(1700118335000)/",14050,700,70300,988000000,50,true,0.36
"HAX",140500,"/Date(1700118335000)/",14050,3000,69600,978000000,50,true,0.36
"HAX",140500,"/Date(1700118335000)/",14050,100,66600,936000000,50,true,0.36
"HAX",140500,"/Date(1700118335000)/",14050,100,66500,934000000,50,true,0.36
"HAX",140500,"/Date(1700118335000)/",14050,100,66400,933000000,50,true,0.36
"HAX",140500,"/Date(1700118335000)/",14050,800,66300,931000000,50,true,0.36
"HAX",140255,"/Date(1700118210000)/",14050,200,65500,920000000,50,true,0.36
"HAX",135930,"/Date(1700118003000)/",14050,200,65300,917000000,50,true,0.36
"HAX",134355,"/Date(1700117067000)/",14050,200,65100,915000000,50,true,0.36
"HAX",134345,"/Date(1700117057000)/",14100,700,64900,912000000,100,false,0.71
"HAX",134345,"/Date(1700117057000)/",14100,100,64200,902000000,100,false,0.71
"HAX",134251,"/Date(1700117004000)/",14050,100,64100,900000000,50,true,0.36
"HAX",133754,"/Date(1700116706000)/",14050,500,64000,899000000,50,false,0.36
"HAX",133754,"/Date(1700116706000)/",14050,300,63500,892000000,50,false,0.36
"HAX",133754,"/Date(1700116706000)/",14050,700,63200,888000000,50,false,0.36
"HAX",133534,"/Date(1700116566000)/",14050,1000,62500,878000000,50,false,0.36
"HAX",133108,"/Date(1700116299000)/",14050,300,61500,864000000,50,false,0.36
"HAX",132926,"/Date(1700116190000)/",14000,600,61200,860000000,0,true,0
"HAX",132926,"/Date(1700116190000)/",14000,500,60600,851000000,0,true,0
"HAX",132520,"/Date(1700115951000)/",13950,200,60100,844000000,-50,true,-0.36
"HAX",132520,"/Date(1700115951000)/",14000,100,59900,842000000,0,true,0
"HAX",132520,"/Date(1700115951000)/",14000,500,59800,840000000,0,true,0
"HAX",132520,"/Date(1700115951000)/",14000,500,59300,833000000,0,true,0
"HAX",132520,"/Date(1700115951000)/",14050,400,58800,826000000,50,true,0.36
"HAX",132520,"/Date(1700115951000)/",14050,100,58400,820000000,50,true,0.36
"HAX",132228,"/Date(1700115779000)/",14050,200,58300,819000000,50,true,0.36
"HAX",131802,"/Date(1700115513000)/",14050,100,58100,816000000,50,true,0.36
"HAX",131646,"/Date(1700115434000)/",14100,100,58000,815000000,100,false,0.71
"HAX",131601,"/Date(1700115391000)/",14050,2000,57900,813000000,50,false,0.36
"HAX",131601,"/Date(1700115391000)/",14050,2600,55900,785000000,50,false,0.36
"HAX",131510,"/Date(1700115337000)/",14050,300,53300,749000000,50,false,0.36
"HAX",131252,"/Date(1700115201000)/",14050,400,53000,745000000,50,false,0.36
"HAX",131016,"/Date(1700115043000)/",14000,200,52600,739000000,0,false,0
"HAX",131016,"/Date(1700115043000)/",14000,300,52400,736000000,0,false,0
"HAX",130934,"/Date(1700115002000)/",14000,100,52100,732000000,0,false,0
"HAX",130359,"/Date(1700114668000)/",14000,200,52000,731000000,0,true,0
"HAX",130359,"/Date(1700114668000)/",14000,100,51800,728000000,0,true,0
"HAX",130359,"/Date(1700114668000)/",14000,1000,51700,726000000,0,true,0
"HAX",130359,"/Date(1700114668000)/",14000,300,50700,712000000,0,true,0
"HAX",130359,"/Date(1700114668000)/",14000,500,50400,708000000,0,true,0
"HAX",130359,"/Date(1700114668000)/",14000,100,49900,701000000,0,true,0
"HAX",130359,"/Date(1700114668000)/",14000,500,49800,700000000,0,true,0
"HAX",130359,"/Date(1700114668000)/",14000,1900,49300,693000000,0,true,0
"HAX",130201,"/Date(1700114549000)/",14000,100,47400,666000000,0,true,0
"HAX",130201,"/Date(1700114549000)/",14000,100,47300,665000000,0,true,0
"HAX",130201,"/Date(1700114549000)/",14000,1000,47200,663000000,0,true,0
"HAX",130201,"/Date(1700114549000)/",14000,1000,46200,649000000,0,true,0
"HAX",130201,"/Date(1700114549000)/",14000,500,45200,635000000,0,true,0
"HAX",130201,"/Date(1700114549000)/",14000,2000,44700,628000000,0,true,0
"HAX",130201,"/Date(1700114549000)/",14000,300,42700,600000000,0,true,0
"HAX",125953,"/Date(1700114402000)/",14000,700,42400,596000000,0,true,0
"HAX",112538,"/Date(1700108757000)/",14000,1000,41700,586000000,0,true,0
"HAX",112334,"/Date(1700108631000)/",14050,100,40700,572000000,50,true,0.36
"HAX",112334,"/Date(1700108631000)/",14050,1000,40600,571000000,50,true,0.36
"HAX",112334,"/Date(1700108631000)/",14050,100,39600,557000000,50,true,0.36
"HAX",111557,"/Date(1700108174000)/",14050,100,39500,556000000,50,true,0.36
"HAX",111133,"/Date(1700107912000)/",14050,1900,39400,554000000,50,true,0.36
"HAX",111133,"/Date(1700107912000)/",14050,200,37500,527000000,50,true,0.36
"HAX",111133,"/Date(1700107912000)/",14050,600,37300,525000000,50,true,0.36
"HAX",110353,"/Date(1700107450000)/",14100,800,36700,516000000,100,true,0.71
"HAX",110353,"/Date(1700107450000)/",14100,200,35900,505000000,100,true,0.71
"HAX",110337,"/Date(1700107435000)/",14100,500,35700,502000000,100,true,0.71
"HAX",105747,"/Date(1700107084000)/",14100,500,35200,495000000,100,true,0.71
"HAX",105342,"/Date(1700106837000)/",14100,3000,34700,488000000,100,true,0.71
"HAX",104913,"/Date(1700106569000)/",14100,400,31700,446000000,100,false,0.71
"HAX",104826,"/Date(1700106523000)/",14100,6500,31300,440000000,100,false,0.71
"HAX",104826,"/Date(1700106523000)/",14100,100,24800,348000000,100,false,0.71
"HAX",104826,"/Date(1700106523000)/",14100,400,24700,347000000,100,false,0.71
"HAX",103946,"/Date(1700106001000)/",14100,1000,24300,341000000,100,false,0.71
"HAX",102743,"/Date(1700105276000)/",14100,100,23300,327000000,100,false,0.71
"HAX",102406,"/Date(1700105060000)/",14050,200,23200,326000000,50,true,0.36
"HAX",102159,"/Date(1700104933000)/",14100,100,23000,323000000,100,false,0.71
"HAX",102159,"/Date(1700104933000)/",14100,200,22900,322000000,100,false,0.71
"HAX",101946,"/Date(1700104798000)/",14100,200,22700,319000000,100,true,0.71
"HAX",101946,"/Date(1700104798000)/",14100,400,22500,316000000,100,true,0.71
"HAX",101609,"/Date(1700104583000)/",14150,200,22100,310000000,150,false,1.07
"HAX",101606,"/Date(1700104579000)/",14100,100,21900,308000000,100,true,0.71
"HAX",101245,"/Date(1700104379000)/",14200,1000,21800,306000000,200,false,1.43
"HAX",101245,"/Date(1700104379000)/",14200,200,20800,292000000,200,false,1.43
"HAX",101245,"/Date(1700104379000)/",14150,400,20600,289000000,150,false,1.07
"HAX",101245,"/Date(1700104379000)/",14150,2000,20200,283000000,150,false,1.07
"HAX",101245,"/Date(1700104379000)/",14150,1500,18200,255000000,150,false,1.07
"HAX",100834,"/Date(1700104126000)/",14150,1000,16700,234000000,150,false,1.07
"HAX",100613,"/Date(1700103985000)/",14150,500,15700,220000000,150,true,1.07
"HAX",100613,"/Date(1700103985000)/",14150,2000,15200,213000000,150,true,1.07
"HAX",100237,"/Date(1700103770000)/",14150,1000,13200,184000000,150,false,1.07
"HAX",95951,"/Date(1700103602000)/",14050,200,12200,170000000,50,true,0.36
"HAX",95754,"/Date(1700103483000)/",14050,500,12000,167000000,50,false,0.36
"HAX",95734,"/Date(1700103464000)/",14050,400,11500,160000000,50,false,0.36
"HAX",95719,"/Date(1700103451000)/",14050,400,11100,155000000,50,true,0.36
"HAX",95439,"/Date(1700103291000)/",14050,600,10700,149000000,50,true,0.36
"HAX",95358,"/Date(1700103249000)/",14050,400,10100,141000000,50,false,0.36
"HAX",95157,"/Date(1700103129000)/",14050,100,9700,135000000,50,true,0.36
"HAX",95009,"/Date(1700103019000)/",14050,100,9600,134000000,50,true,0.36
"HAX",95000,"/Date(1700103011000)/",14050,200,9500,132000000,50,false,0.36
"HAX",95000,"/Date(1700103011000)/",14050,200,9300,129000000,50,false,0.36
"HAX",94918,"/Date(1700102970000)/",14050,1000,9100,127000000,50,false,0.36
"HAX",93934,"/Date(1700102384000)/",14000,100,8100,113000000,0,false,0
"HAX",93934,"/Date(1700102384000)/",14000,1000,8000,111000000,0,false,0
"HAX",93934,"/Date(1700102384000)/",14000,3900,7000,97000000,0,false,0
"HAX",93154,"/Date(1700101923000)/",14000,300,3100,43000000,0,false,0
"HAX",93050,"/Date(1700101858000)/",14000,500,2800,38000000,0,false,0
"HAX",93044,"/Date(1700101853000)/",14000,100,2300,31000000,0,false,0
"HAX",92956,"/Date(1700101806000)/",14000,200,2200,30000000,0,true,0
"HAX",91458,"/Date(1700100901000)/",13850,2000,2000,27000000,-150,true,-1.07
