"Stockcode","Package","TradingDate","Price","Vol","TotalVol","TotalVal","Change","IsBuy","PerChange"
"CTR",144423,"/Date(1700207100000)/",86300,14900,493300,42815000000,700,true,0.82
"CTR",142850,"/Date(1700206165000)/",86700,100,478400,41529000000,1100,true,1.29
"CTR",142821,"/Date(1700206136000)/",86700,100,478300,41521000000,1100,false,1.29
"CTR",142655,"/Date(1700206049000)/",86900,200,478200,41512000000,1300,true,1.52
"CTR",142639,"/Date(1700206035000)/",87000,2400,478000,41495000000,1400,true,1.64
"CTR",142639,"/Date(1700206035000)/",87100,100,475600,41286000000,1500,true,1.75
"CTR",142635,"/Date(1700206032000)/",87100,300,475500,41277000000,1500,true,1.75
"CTR",142635,"/Date(1700206032000)/",87100,100,475200,41251000000,1500,true,1.75
"CTR",142623,"/Date(1700206019000)/",87100,100,475100,41242000000,1500,false,1.75
"CTR",142623,"/Date(1700206018000)/",87000,500,475000,41234000000,1400,true,1.64
"CTR",142623,"/Date(1700206018000)/",87000,100,474500,41190000000,1400,true,1.64
"CTR",142623,"/Date(1700206018000)/",87000,100,474400,41181000000,1400,true,1.64
"CTR",142623,"/Date(1700206018000)/",87000,200,474300,41173000000,1400,true,1.64
"CTR",142623,"/Date(1700206018000)/",87000,100,474100,41155000000,1400,true,1.64
"CTR",142623,"/Date(1700206018000)/",87000,1600,474000,41147000000,1400,true,1.64
"CTR",142616,"/Date(1700206011000)/",87000,3400,472400,41007000000,1400,false,1.64
"CTR",142616,"/Date(1700206011000)/",87000,100,469000,40712000000,1400,false,1.64
"CTR",142616,"/Date(1700206011000)/",87000,1000,468900,40703000000,1400,false,1.64
"CTR",142616,"/Date(1700206011000)/",87000,1000,467900,40616000000,1400,false,1.64
"CTR",142616,"/Date(1700206011000)/",87000,200,466900,40529000000,1400,false,1.64
"CTR",142616,"/Date(1700206011000)/",87000,200,466700,40512000000,1400,false,1.64
"CTR",142616,"/Date(1700206011000)/",87000,300,466500,40494000000,1400,false,1.64
"CTR",142616,"/Date(1700206011000)/",87000,2000,466200,40468000000,1400,false,1.64
"CTR",142616,"/Date(1700206011000)/",87000,100,464200,40294000000,1400,false,1.64
"CTR",142616,"/Date(1700206011000)/",87000,500,464100,40285000000,1400,false,1.64
"CTR",142616,"/Date(1700206011000)/",87000,3000,463600,40242000000,1400,false,1.64
"CTR",142616,"/Date(1700206011000)/",87000,500,460600,39981000000,1400,false,1.64
"CTR",142616,"/Date(1700206011000)/",87000,200,460100,39937000000,1400,false,1.64
"CTR",142616,"/Date(1700206011000)/",87000,700,459900,39920000000,1400,false,1.64
"CTR",142616,"/Date(1700206011000)/",87000,1100,459200,39859000000,1400,false,1.64
"CTR",142616,"/Date(1700206011000)/",87000,700,458100,39763000000,1400,false,1.64
"CTR",142541,"/Date(1700205977000)/",87000,500,457400,39702000000,1400,false,1.64
"CTR",142541,"/Date(1700205977000)/",87000,800,456900,39659000000,1400,false,1.64
"CTR",142541,"/Date(1700205977000)/",87000,400,456100,39589000000,1400,false,1.64
"CTR",142323,"/Date(1700205838000)/",86800,500,455700,39555000000,1200,false,1.4
"CTR",142323,"/Date(1700205838000)/",86800,400,455200,39511000000,1200,false,1.4
"CTR",142317,"/Date(1700205831000)/",86800,100,454800,39476000000,1200,false,1.4
"CTR",142317,"/Date(1700205831000)/",86800,100,454700,39468000000,1200,false,1.4
"CTR",142317,"/Date(1700205831000)/",86800,100,454600,39459000000,1200,false,1.4
"CTR",142317,"/Date(1700205831000)/",86800,700,454500,39450000000,1200,false,1.4
"CTR",142258,"/Date(1700205814000)/",86800,7300,453800,39390000000,1200,false,1.4
"CTR",142258,"/Date(1700205814000)/",86800,700,446500,38756000000,1200,false,1.4
"CTR",142254,"/Date(1700205809000)/",86800,300,445800,38695000000,1200,false,1.4
"CTR",142232,"/Date(1700205787000)/",86800,1000,445500,38669000000,1200,false,1.4
"CTR",142225,"/Date(1700205779000)/",86600,300,444500,38582000000,1000,false,1.17
"CTR",142219,"/Date(1700205774000)/",86600,100,444200,38556000000,1000,true,1.17
"CTR",142219,"/Date(1700205774000)/",86600,100,444100,38548000000,1000,true,1.17
"CTR",142159,"/Date(1700205756000)/",86600,400,444000,38539000000,1000,false,1.17
"CTR",142156,"/Date(1700205751000)/",86600,100,443600,38504000000,1000,true,1.17
"CTR",142140,"/Date(1700205735000)/",86700,100,443500,38496000000,1100,false,1.29
"CTR",142140,"/Date(1700205735000)/",86700,100,443400,38487000000,1100,false,1.29
"CTR",142130,"/Date(1700205726000)/",86700,100,443300,38478000000,1100,false,1.29
"CTR",142111,"/Date(1700205706000)/",86600,100,443200,38470000000,1000,true,1.17
"CTR",142111,"/Date(1700205706000)/",86600,100,443100,38461000000,1000,true,1.17
"CTR",142111,"/Date(1700205706000)/",86600,100,443000,38452000000,1000,true,1.17
"CTR",142108,"/Date(1700205703000)/",86400,400,442900,38444000000,800,true,0.93
"CTR",142102,"/Date(1700205697000)/",86600,100,442500,38409000000,1000,false,1.17
"CTR",142058,"/Date(1700205694000)/",86500,100,442400,38401000000,900,true,1.05
"CTR",142033,"/Date(1700205669000)/",86500,200,442300,38392000000,900,false,1.05
"CTR",142033,"/Date(1700205669000)/",86500,200,442100,38375000000,900,false,1.05
"CTR",142033,"/Date(1700205669000)/",86500,200,441900,38357000000,900,false,1.05
"CTR",142033,"/Date(1700205669000)/",86500,100,441700,38340000000,900,false,1.05
"CTR",142033,"/Date(1700205669000)/",86500,100,441600,38331000000,900,false,1.05
"CTR",142033,"/Date(1700205669000)/",86500,500,441500,38323000000,900,false,1.05
"CTR",142033,"/Date(1700205669000)/",86500,300,441000,38279000000,900,false,1.05
"CTR",142033,"/Date(1700205669000)/",86500,300,440700,38254000000,900,false,1.05
"CTR",141844,"/Date(1700205558000)/",86400,100,440400,38228000000,800,true,0.93
"CTR",141831,"/Date(1700205547000)/",86500,100,440300,38219000000,900,false,1.05
"CTR",141759,"/Date(1700205514000)/",86500,300,440200,38210000000,900,false,1.05
"CTR",141756,"/Date(1700205509000)/",86500,800,439900,38184000000,900,false,1.05
"CTR",141749,"/Date(1700205504000)/",86500,100,439100,38115000000,900,false,1.05
"CTR",141450,"/Date(1700205324000)/",86500,500,439000,38106000000,900,false,1.05
"CTR",141434,"/Date(1700205308000)/",86500,200,438500,38063000000,900,false,1.05
"CTR",141424,"/Date(1700205299000)/",86500,200,438300,38046000000,900,false,1.05
"CTR",141412,"/Date(1700205285000)/",86300,1000,438100,38029000000,700,true,0.82
"CTR",141324,"/Date(1700205238000)/",86400,100,437100,37942000000,800,false,0.93
"CTR",141324,"/Date(1700205238000)/",86300,200,437000,37934000000,700,true,0.82
"CTR",141314,"/Date(1700205228000)/",86300,600,436800,37916000000,700,true,0.82
"CTR",141314,"/Date(1700205228000)/",86300,400,436200,37865000000,700,true,0.82
"CTR",141314,"/Date(1700205228000)/",86400,300,435800,37830000000,800,false,0.93
"CTR",141203,"/Date(1700205157000)/",86400,200,435500,37804000000,800,false,0.93
"CTR",141112,"/Date(1700205105000)/",86500,500,435300,37787000000,900,false,1.05
"CTR",141103,"/Date(1700205097000)/",86400,100,434800,37744000000,800,false,0.93
"CTR",141005,"/Date(1700205040000)/",86400,100,434700,37735000000,800,true,0.93
"CTR",140952,"/Date(1700205025000)/",86500,100,434600,37726000000,900,false,1.05
"CTR",140952,"/Date(1700205025000)/",86500,100,434500,37718000000,900,false,1.05
"CTR",140936,"/Date(1700205010000)/",86500,300,434400,37709000000,900,false,1.05
"CTR",140907,"/Date(1700204982000)/",86500,100,434100,37683000000,900,false,1.05
"CTR",140907,"/Date(1700204982000)/",86500,400,434000,37674000000,900,false,1.05
