"Stockcode","Package","TradingDate","Price","Vol","TotalVol","TotalVal","Change","IsBuy","PerChange"
"HBC",144430,"/Date(1700552702000)/",7770,34000,2019500,15458000000,500,true,6.88
"HBC",142844,"/Date(1700551761000)/",7770,600,1985500,15194000000,500,true,6.88
"HBC",142844,"/Date(1700551761000)/",7770,400,1984900,15189000000,500,true,6.88
"HBC",142809,"/Date(1700551725000)/",7770,500,1984500,15186000000,500,true,6.88
"HBC",142734,"/Date(1700551690000)/",7770,2100,1984000,15182000000,500,true,6.88
"HBC",142734,"/Date(1700551690000)/",7770,500,1981900,15166000000,500,true,6.88
"HBC",142624,"/Date(1700551618000)/",7770,5000,1981400,15162000000,500,true,6.88
"HBC",142601,"/Date(1700551597000)/",7770,100,1976400,15123000000,500,true,6.88
"HBC",142501,"/Date(1700551536000)/",7770,300,1976300,15122000000,500,true,6.88
"HBC",142425,"/Date(1700551502000)/",7770,100,1976000,15120000000,500,true,6.88
"HBC",142356,"/Date(1700551470000)/",7770,4000,1975900,15119000000,500,true,6.88
"HBC",142356,"/Date(1700551470000)/",7770,1000,1971900,15088000000,500,true,6.88
"HBC",142302,"/Date(1700551416000)/",7770,200,1970900,15080000000,500,true,6.88
"HBC",142256,"/Date(1700551412000)/",7770,2100,1970700,15079000000,500,true,6.88
"HBC",142256,"/Date(1700551412000)/",7770,900,1968600,15062000000,500,true,6.88
"HBC",142151,"/Date(1700551347000)/",7770,500,1967700,15055000000,500,true,6.88
"HBC",142148,"/Date(1700551343000)/",7770,3000,1967200,15051000000,500,true,6.88
"HBC",142125,"/Date(1700551321000)/",7770,3000,1964200,15028000000,500,true,6.88
"HBC",142021,"/Date(1700551258000)/",7770,100,1961200,15005000000,500,true,6.88
"HBC",142021,"/Date(1700551256000)/",7770,700,1961100,15004000000,500,true,6.88
"HBC",141927,"/Date(1700551201000)/",7770,1800,1960400,14999000000,500,true,6.88
"HBC",141927,"/Date(1700551201000)/",7770,200,1958600,14985000000,500,true,6.88
"HBC",141917,"/Date(1700551194000)/",7770,1100,1958400,14983000000,500,true,6.88
"HBC",141814,"/Date(1700551130000)/",7770,1000,1957300,14975000000,500,true,6.88
"HBC",141729,"/Date(1700551083000)/",7770,100,1956300,14967000000,500,true,6.88
"HBC",141644,"/Date(1700551040000)/",7770,500,1956200,14966000000,500,true,6.88
"HBC",141527,"/Date(1700550963000)/",7770,100,1955700,14962000000,500,true,6.88
"HBC",141527,"/Date(1700550963000)/",7770,500,1955600,14961000000,500,true,6.88
"HBC",141505,"/Date(1700550941000)/",7770,2500,1955100,14957000000,500,true,6.88
"HBC",141505,"/Date(1700550941000)/",7770,2500,1952600,14938000000,500,true,6.88
"HBC",141218,"/Date(1700550773000)/",7770,3000,1950100,14919000000,500,true,6.88
"HBC",141156,"/Date(1700550748000)/",7770,1000,1947100,14895000000,500,true,6.88
"HBC",141140,"/Date(1700550734000)/",7770,15000,1946100,14888000000,500,true,6.88
"HBC",141010,"/Date(1700550643000)/",7770,100,1931100,14771000000,500,true,6.88
"HBC",140900,"/Date(1700550575000)/",7770,1000,1931000,14770000000,500,true,6.88
"HBC",140821,"/Date(1700550536000)/",7770,7400,1930000,14762000000,500,true,6.88
"HBC",140821,"/Date(1700550536000)/",7770,1700,1922600,14705000000,500,true,6.88
"HBC",140821,"/Date(1700550536000)/",7770,3000,1920900,14692000000,500,true,6.88
"HBC",140821,"/Date(1700550536000)/",7770,7400,1917900,14668000000,500,true,6.88
