"Stockcode","Package","TradingDate","Price","Vol","TotalVol","TotalVal","Change","IsBuy","PerChange"
"DPG",144427,"/Date(1700725502000)/",39200,361800,2739900,111338000000,-100,true,-0.25
"DPG",142916,"/Date(1700724593000)/",40300,200,2378100,97155000000,1000,false,2.54
"DPG",142916,"/Date(1700724592000)/",40400,1500,2377900,97147000000,1100,false,2.8
"DPG",142916,"/Date(1700724592000)/",40400,500,2376400,97087000000,1100,false,2.8
"DPG",142916,"/Date(1700724592000)/",40400,500,2375900,97066000000,1100,false,2.8
"DPG",142916,"/Date(1700724592000)/",40400,200,2375400,97046000000,1100,false,2.8
"DPG",142916,"/Date(1700724592000)/",40400,100,2375200,97038000000,1100,false,2.8
"DPG",142916,"/Date(1700724592000)/",40400,100,2375100,97034000000,1100,false,2.8
"DPG",142916,"/Date(1700724592000)/",40400,700,2375000,97030000000,1100,false,2.8
"DPG",142916,"/Date(1700724592000)/",40400,500,2374300,97002000000,1100,false,2.8
"DPG",142916,"/Date(1700724592000)/",40400,200,2373800,96981000000,1100,false,2.8
"DPG",142916,"/Date(1700724592000)/",40400,1000,2373600,96973000000,1100,false,2.8
"DPG",142916,"/Date(1700724592000)/",40400,500,2372600,96933000000,1100,false,2.8
"DPG",142916,"/Date(1700724592000)/",40400,2400,2372100,96913000000,1100,false,2.8
"DPG",142916,"/Date(1700724592000)/",40350,1700,2369700,96816000000,1050,false,2.67
"DPG",142916,"/Date(1700724592000)/",40300,2000,2368000,96747000000,1000,false,2.54
"DPG",142916,"/Date(1700724592000)/",40250,6100,2366000,96667000000,950,false,2.42
"DPG",142913,"/Date(1700724589000)/",40250,100,2359900,96421000000,950,true,2.42
"DPG",142913,"/Date(1700724589000)/",40250,200,2359800,96417000000,950,true,2.42
"DPG",142913,"/Date(1700724589000)/",40250,1000,2359600,96409000000,950,true,2.42
"DPG",142913,"/Date(1700724589000)/",40250,1200,2358600,96369000000,950,true,2.42
"DPG",142910,"/Date(1700724585000)/",40250,100,2357400,96320000000,950,true,2.42
"DPG",142903,"/Date(1700724580000)/",40250,1200,2357300,96316000000,950,true,2.42
"DPG",142900,"/Date(1700724577000)/",40300,200,2356100,96268000000,1000,true,2.54
"DPG",142900,"/Date(1700724577000)/",40300,100,2355900,96260000000,1000,true,2.54
"DPG",142900,"/Date(1700724577000)/",40300,1100,2355800,96256000000,1000,true,2.54
"DPG",142857,"/Date(1700724574000)/",40300,800,2354700,96212000000,1000,true,2.54
"DPG",142857,"/Date(1700724574000)/",40300,100,2353900,96179000000,1000,true,2.54
"DPG",142857,"/Date(1700724573000)/",40250,200,2353800,96175000000,950,true,2.42
"DPG",142854,"/Date(1700724569000)/",40250,100,2353600,96167000000,950,true,2.42
"DPG",142851,"/Date(1700724565000)/",40300,600,2353500,96163000000,1000,false,2.54
"DPG",142847,"/Date(1700724564000)/",40300,100,2352900,96139000000,1000,true,2.54
"DPG",142847,"/Date(1700724564000)/",40300,2200,2352800,96135000000,1000,true,2.54
"DPG",142847,"/Date(1700724564000)/",40300,1000,2350600,96047000000,1000,true,2.54
"DPG",142847,"/Date(1700724562000)/",40300,200,2349600,96006000000,1000,true,2.54
"DPG",142844,"/Date(1700724559000)/",40300,100,2349400,95998000000,1000,true,2.54
"DPG",142844,"/Date(1700724559000)/",40300,900,2349300,95994000000,1000,true,2.54
"DPG",142841,"/Date(1700724558000)/",40350,300,2348400,95958000000,1050,false,2.67
"DPG",142841,"/Date(1700724557000)/",40350,100,2348100,95946000000,1050,false,2.67
"DPG",142838,"/Date(1700724554000)/",40300,1000,2348000,95942000000,1000,true,2.54
"DPG",142835,"/Date(1700724550000)/",40300,100,2347000,95901000000,1000,true,2.54
"DPG",142828,"/Date(1700724543000)/",40300,200,2346900,95897000000,1000,false,2.54
"DPG",142828,"/Date(1700724543000)/",40300,1000,2346700,95889000000,1000,false,2.54
"DPG",142828,"/Date(1700724543000)/",40300,400,2345700,95849000000,1000,false,2.54
