"Stockcode","Package","TradingDate","Price","Vol","TotalVol","TotalVal","Change","IsBuy","PerChange"
"KHS",144512,"/Date(1700725502000)/",9500,100,11500,118140000,100,false,1.06
"KHS",135848,"/Date(1700722728000)/",10300,1800,11400,117190000,900,false,9.57
"KHS",135715,"/Date(1700722635000)/",10300,200,9600,98650000,900,false,9.57
"KHS",135615,"/Date(1700722575000)/",10300,800,9400,96590000,900,false,9.57
"KHS",133216,"/Date(1700721136000)/",10300,900,8600,88350000,900,true,9.57
"KHS",133049,"/Date(1700721049000)/",10300,100,7700,79080000,900,false,9.57
"KHS",133014,"/Date(1700721014000)/",10300,400,7600,78050000,900,false,9.57
"KHS",132943,"/Date(1700720983000)/",10300,100,7200,73930000,900,true,9.57
"KHS",132928,"/Date(1700720968000)/",10300,400,7100,72900000,900,false,9.57
"KHS",132902,"/Date(1700720942000)/",10300,5600,6700,68780000,900,false,9.57
"KHS",130022,"/Date(1700719203000)/",10300,900,1100,11100000,900,false,9.57
"KHS",111843,"/Date(1700713123000)/",9700,100,200,1830000,300,true,3.19
"KHS",90028,"/Date(1700704805000)/",8600,100,100,860000,-800,false,-8.51
