"Stockcode","Package","TradingDate","Price","Vol","TotalVol","TotalVal","Change","IsBuy","PerChange"
"VHC",144431,"/Date(1700725503000)/",69500,151200,796600,56400000000,-1500,true,-2.11
"VHC",142916,"/Date(1700724592000)/",70100,100,645400,45892000000,-900,false,-1.27
"VHC",142916,"/Date(1700724592000)/",70100,900,645300,45885000000,-900,false,-1.27
"VHC",142907,"/Date(1700724582000)/",70100,100,644400,45822000000,-900,false,-1.27
"VHC",142903,"/Date(1700724579000)/",70100,2000,644300,45815000000,-900,true,-1.27
"VHC",142903,"/Date(1700724579000)/",70100,500,642300,45674000000,-900,true,-1.27
"VHC",142857,"/Date(1700724573000)/",70100,1500,641800,45639000000,-900,true,-1.27
"VHC",142857,"/Date(1700724573000)/",70200,500,640300,45534000000,-800,false,-1.13
"VHC",142822,"/Date(1700724539000)/",70000,300,639800,45499000000,-1000,true,-1.41
"VHC",142819,"/Date(1700724535000)/",70000,7100,639500,45478000000,-1000,true,-1.41
"VHC",142819,"/Date(1700724535000)/",70100,100,632400,44981000000,-900,false,-1.27
"VHC",142819,"/Date(1700724535000)/",70100,100,632300,44974000000,-900,false,-1.27
"VHC",142819,"/Date(1700724533000)/",70100,100,632200,44967000000,-900,false,-1.27
"VHC",142803,"/Date(1700724518000)/",70100,2000,632100,44960000000,-900,true,-1.27
"VHC",142803,"/Date(1700724518000)/",70100,2000,630100,44820000000,-900,true,-1.27
"VHC",142803,"/Date(1700724518000)/",70100,1500,628100,44680000000,-900,true,-1.27
"VHC",142803,"/Date(1700724518000)/",70200,500,626600,44574000000,-800,true,-1.13
"VHC",142803,"/Date(1700724518000)/",70200,500,626100,44539000000,-800,true,-1.13
"VHC",142740,"/Date(1700724494000)/",70000,800,625600,44504000000,-1000,true,-1.41
"VHC",142740,"/Date(1700724494000)/",70000,200,624800,44448000000,-1000,true,-1.41
"VHC",142740,"/Date(1700724494000)/",70000,300,624600,44434000000,-1000,true,-1.41
"VHC",142740,"/Date(1700724494000)/",70000,2000,624300,44413000000,-1000,true,-1.41
"VHC",142740,"/Date(1700724494000)/",70000,100,622300,44273000000,-1000,true,-1.41
"VHC",142740,"/Date(1700724494000)/",70000,100,622200,44266000000,-1000,true,-1.41
"VHC",142737,"/Date(1700724494000)/",70000,100,622100,44259000000,-1000,true,-1.41
"VHC",142737,"/Date(1700724494000)/",70000,1000,622000,44252000000,-1000,true,-1.41
"VHC",142737,"/Date(1700724494000)/",70000,2000,621000,44182000000,-1000,true,-1.41
"VHC",142737,"/Date(1700724494000)/",70000,3000,619000,44042000000,-1000,true,-1.41
"VHC",142737,"/Date(1700724494000)/",70000,1000,616000,43832000000,-1000,true,-1.41
"VHC",142737,"/Date(1700724494000)/",70000,500,615000,43762000000,-1000,true,-1.41
"VHC",142737,"/Date(1700724494000)/",70000,100,614500,43727000000,-1000,true,-1.41
"VHC",142737,"/Date(1700724494000)/",70100,500,614400,43720000000,-900,true,-1.27
"VHC",142737,"/Date(1700724494000)/",70100,300,613900,43685000000,-900,true,-1.27
"VHC",142737,"/Date(1700724494000)/",70100,1000,613600,43664000000,-900,true,-1.27
"VHC",142737,"/Date(1700724494000)/",70100,100,612600,43594000000,-900,true,-1.27
"VHC",142737,"/Date(1700724494000)/",70100,1500,612500,43587000000,-900,true,-1.27
"VHC",142737,"/Date(1700724494000)/",70200,400,611000,43482000000,-800,true,-1.13
"VHC",142734,"/Date(1700724489000)/",70100,8000,610600,43454000000,-900,true,-1.27
"VHC",142734,"/Date(1700724489000)/",70100,200,602600,42893000000,-900,true,-1.27
"VHC",142734,"/Date(1700724489000)/",70200,1800,602400,42879000000,-800,true,-1.13
"VHC",142730,"/Date(1700724487000)/",70200,200,600600,42753000000,-800,true,-1.13
"VHC",142730,"/Date(1700724487000)/",70200,100,600400,42739000000,-800,true,-1.13
"VHC",142727,"/Date(1700724484000)/",70300,300,600300,42732000000,-700,false,-0.99
"VHC",142721,"/Date(1700724475000)/",70200,1000,600000,42711000000,-800,true,-1.13
"VHC",142721,"/Date(1700724475000)/",70200,400,599000,42640000000,-800,true,-1.13
"VHC",142721,"/Date(1700724475000)/",70200,1000,598600,42612000000,-800,true,-1.13
"VHC",142721,"/Date(1700724475000)/",70200,2000,597600,42542000000,-800,true,-1.13
"VHC",142721,"/Date(1700724475000)/",70200,100,595600,42402000000,-800,true,-1.13
"VHC",142721,"/Date(1700724475000)/",70200,4000,595500,42395000000,-800,true,-1.13
