"Stockcode","Package","TradingDate","Price","Vol","TotalVol","TotalVal","Change","IsBuy","PerChange"
"FPT",144427,"/Date(1700811903000)/",91200,122700,2248500,204903000000,400,false,0.44
"FPT",142923,"/Date(1700811000000)/",91500,100,2125800,193713000000,700,false,0.77
"FPT",142923,"/Date(1700811000000)/",91500,100,2125700,193704000000,700,false,0.77
"FPT",142923,"/Date(1700811000000)/",91500,300,2125600,193695000000,700,false,0.77
"FPT",142923,"/Date(1700811000000)/",91500,100,2125300,193667000000,700,false,0.77
"FPT",142920,"/Date(1700810997000)/",91500,100,2125200,193658000000,700,false,0.77
"FPT",142904,"/Date(1700810981000)/",91400,100,2125100,193649000000,600,false,0.66
"FPT",142904,"/Date(1700810981000)/",91400,1000,2125000,193640000000,600,false,0.66
"FPT",142904,"/Date(1700810981000)/",91400,100,2124000,193548000000,600,false,0.66
"FPT",142904,"/Date(1700810980000)/",91300,100,2123900,193539000000,500,true,0.55
"FPT",142901,"/Date(1700810975000)/",91400,300,2123800,193530000000,600,false,0.66
"FPT",142858,"/Date(1700810974000)/",91300,100,2123500,193503000000,500,true,0.55
"FPT",142858,"/Date(1700810972000)/",91400,4600,2123400,193493000000,600,false,0.66
"FPT",142858,"/Date(1700810972000)/",91400,5400,2118800,193073000000,600,false,0.66
"FPT",142858,"/Date(1700810972000)/",91400,3000,2113400,192579000000,600,false,0.66
"FPT",142854,"/Date(1700810970000)/",91400,1000,2110400,192305000000,600,false,0.66
"FPT",142819,"/Date(1700810934000)/",91300,100,2109400,192214000000,500,false,0.55
"FPT",142819,"/Date(1700810934000)/",91300,200,2109300,192205000000,500,false,0.55
"FPT",142819,"/Date(1700810934000)/",91300,100,2109100,192186000000,500,false,0.55
"FPT",142819,"/Date(1700810934000)/",91300,400,2109000,192177000000,500,false,0.55
"FPT",142819,"/Date(1700810934000)/",91300,500,2108600,192141000000,500,false,0.55
"FPT",142813,"/Date(1700810929000)/",91300,100,2108100,192095000000,500,false,0.55
"FPT",142813,"/Date(1700810927000)/",91300,1400,2108000,192086000000,500,false,0.55
"FPT",142806,"/Date(1700810921000)/",91300,100,2106600,191958000000,500,false,0.55
