"Stockcode","Package","TradingDate","Price","Vol","TotalVol","TotalVal","Change","IsBuy","PerChange"
"SSI",144431,"/Date(1700811903000)/",32000,1643200,24682500,768776000000,1100,false,3.56
"SSI",142923,"/Date(1700811001000)/",31700,5300,23039300,716232000000,800,false,2.59
"SSI",142923,"/Date(1700811000000)/",31700,10000,23034000,716064000000,800,false,2.59
"SSI",142923,"/Date(1700810998000)/",31700,300,23024000,715747000000,800,false,2.59
"SSI",142920,"/Date(1700810997000)/",31650,200,23023700,715738000000,750,true,2.43
"SSI",142920,"/Date(1700810996000)/",31700,2900,23023500,715731000000,800,false,2.59
"SSI",142920,"/Date(1700810995000)/",31650,2000,23020600,715640000000,750,true,2.43
"SSI",142917,"/Date(1700810991000)/",31700,400,23018600,715576000000,800,false,2.59
"SSI",142914,"/Date(1700810988000)/",31650,2500,23018200,715564000000,750,true,2.43
"SSI",142914,"/Date(1700810988000)/",31650,3300,23015700,715484000000,750,true,2.43
"SSI",142914,"/Date(1700810988000)/",31650,200,23012400,715380000000,750,true,2.43
"SSI",142914,"/Date(1700810988000)/",31650,6500,23012200,715374000000,750,true,2.43
"SSI",142910,"/Date(1700810986000)/",31700,3600,23005700,715168000000,800,false,2.59
"SSI",142907,"/Date(1700810984000)/",31700,400,23002100,715054000000,800,false,2.59
"SSI",142907,"/Date(1700810983000)/",31650,500,23001700,715041000000,750,true,2.43
"SSI",142907,"/Date(1700810983000)/",31650,500,23001200,715025000000,750,true,2.43
"SSI",142904,"/Date(1700810981000)/",31650,300,23000700,715009000000,750,true,2.43
"SSI",142904,"/Date(1700810980000)/",31700,20000,23000400,715000000000,800,false,2.59
"SSI",142904,"/Date(1700810979000)/",31650,2000,22980400,714366000000,750,true,2.43
"SSI",142901,"/Date(1700810977000)/",31700,1000,22978400,714303000000,800,false,2.59
"SSI",142901,"/Date(1700810976000)/",31650,200,22977400,714271000000,750,false,2.43
"SSI",142901,"/Date(1700810975000)/",31650,300,22977200,714265000000,750,false,2.43
"SSI",142858,"/Date(1700810975000)/",31650,100,22976900,714255000000,750,false,2.43
"SSI",142858,"/Date(1700810975000)/",31650,1400,22976800,714252000000,750,false,2.43
"SSI",142858,"/Date(1700810975000)/",31650,100,22975400,714208000000,750,false,2.43
"SSI",142858,"/Date(1700810975000)/",31650,200,22975300,714205000000,750,false,2.43
"SSI",142858,"/Date(1700810975000)/",31650,700,22975100,714198000000,750,false,2.43
"SSI",142858,"/Date(1700810975000)/",31650,7000,22974400,714176000000,750,false,2.43
"SSI",142858,"/Date(1700810973000)/",31700,2000,22967400,713955000000,800,false,2.59
"SSI",142854,"/Date(1700810971000)/",31700,1200,22965400,713891000000,800,false,2.59
"SSI",142854,"/Date(1700810971000)/",31700,1300,22964200,713853000000,800,false,2.59
"SSI",142854,"/Date(1700810971000)/",31650,800,22962900,713812000000,750,false,2.43
"SSI",142854,"/Date(1700810971000)/",31650,3400,22962100,713787000000,750,false,2.43
"SSI",142854,"/Date(1700810970000)/",31650,800,22958700,713679000000,750,false,2.43
"SSI",142854,"/Date(1700810970000)/",31650,800,22957900,713654000000,750,false,2.43
"SSI",142854,"/Date(1700810970000)/",31650,200,22957100,713628000000,750,false,2.43
"SSI",142854,"/Date(1700810969000)/",31650,500,22956900,713622000000,750,false,2.43
"SSI",142851,"/Date(1700810967000)/",31650,500,22956400,713606000000,750,false,2.43
"SSI",142848,"/Date(1700810964000)/",31700,8700,22955900,713590000000,800,false,2.59
"SSI",142848,"/Date(1700810964000)/",31700,200,22947200,713315000000,800,false,2.59
"SSI",142848,"/Date(1700810964000)/",31650,300,22947000,713308000000,750,false,2.43
"SSI",142848,"/Date(1700810964000)/",31650,200,22946700,713299000000,750,false,2.43
"SSI",142848,"/Date(1700810964000)/",31650,300,22946500,713292000000,750,false,2.43
"SSI",142848,"/Date(1700810964000)/",31650,300,22946200,713283000000,750,false,2.43
"SSI",142845,"/Date(1700810962000)/",31650,500,22945900,713273000000,750,true,2.43
"SSI",142845,"/Date(1700810961000)/",31650,2000,22945400,713258000000,750,true,2.43
"SSI",142845,"/Date(1700810961000)/",31650,200,22943400,713194000000,750,true,2.43
"SSI",142845,"/Date(1700810960000)/",31650,1000,22943200,713188000000,750,true,2.43
"SSI",142845,"/Date(1700810960000)/",31650,500,22942200,713156000000,750,true,2.43
"SSI",142845,"/Date(1700810959000)/",31650,1000,22941700,713140000000,750,true,2.43
"SSI",142841,"/Date(1700810959000)/",31650,500,22940700,713109000000,750,true,2.43
"SSI",142841,"/Date(1700810958000)/",31650,400,22940200,713093000000,750,true,2.43
"SSI",142841,"/Date(1700810958000)/",31650,1000,22939800,713080000000,750,true,2.43
"SSI",142841,"/Date(1700810958000)/",31650,2800,22938800,713049000000,750,true,2.43
"SSI",142841,"/Date(1700810958000)/",31650,500,22936000,712960000000,750,true,2.43
"SSI",142841,"/Date(1700810958000)/",31650,14700,22935500,712944000000,750,true,2.43
"SSI",142841,"/Date(1700810956000)/",31650,500,22920800,712479000000,750,true,2.43
"SSI",142835,"/Date(1700810951000)/",31650,200,22920300,712463000000,750,false,2.43
"SSI",142835,"/Date(1700810950000)/",31650,100,22920100,712457000000,750,false,2.43
"SSI",142835,"/Date(1700810950000)/",31650,100,22920000,712454000000,750,false,2.43
"SSI",142835,"/Date(1700810950000)/",31650,200,22919900,712450000000,750,false,2.43
"SSI",142835,"/Date(1700810950000)/",31650,500,22919700,712444000000,750,false,2.43
"SSI",142835,"/Date(1700810950000)/",31650,5000,22919200,712428000000,750,false,2.43
"SSI",142835,"/Date(1700810950000)/",31650,8700,22914200,712270000000,750,false,2.43
"SSI",142835,"/Date(1700810950000)/",31650,1300,22905500,711995000000,750,false,2.43
"SSI",142835,"/Date(1700810950000)/",31650,3000,22904200,711954000000,750,false,2.43
"SSI",142835,"/Date(1700810950000)/",31650,100,22901200,711859000000,750,false,2.43
"SSI",142835,"/Date(1700810950000)/",31650,200,22901100,711855000000,750,false,2.43
"SSI",142835,"/Date(1700810950000)/",31650,400,22900900,711849000000,750,false,2.43
"SSI",142835,"/Date(1700810950000)/",31600,3800,22900500,711836000000,700,true,2.27
"SSI",142835,"/Date(1700810950000)/",31600,500,22896700,711716000000,700,true,2.27
"SSI",142835,"/Date(1700810950000)/",31600,700,22896200,711701000000,700,true,2.27
"SSI",142832,"/Date(1700810949000)/",31600,1000,22895500,711678000000,700,true,2.27
"SSI",142832,"/Date(1700810949000)/",31600,1000,22894500,711647000000,700,true,2.27
"SSI",142832,"/Date(1700810949000)/",31600,1000,22893500,711615000000,700,true,2.27
"SSI",142832,"/Date(1700810949000)/",31600,300,22892500,711584000000,700,true,2.27
"SSI",142832,"/Date(1700810949000)/",31650,800,22892200,711574000000,750,false,2.43
"SSI",142832,"/Date(1700810949000)/",31650,18800,22891400,711549000000,750,false,2.43
"SSI",142832,"/Date(1700810949000)/",31650,200,22872600,710954000000,750,false,2.43
"SSI",142832,"/Date(1700810949000)/",31600,100,22872400,710947000000,700,true,2.27
"SSI",142832,"/Date(1700810948000)/",31650,7000,22872300,710944000000,750,false,2.43
"SSI",142832,"/Date(1700810948000)/",31650,1300,22865300,710723000000,750,false,2.43
"SSI",142832,"/Date(1700810947000)/",31650,300,22864000,710682000000,750,false,2.43
"SSI",142832,"/Date(1700810947000)/",31650,3000,22863700,710672000000,750,false,2.43
"SSI",142829,"/Date(1700810946000)/",31650,2000,22860700,710577000000,750,false,2.43
"SSI",142829,"/Date(1700810945000)/",31600,100,22858700,710514000000,700,true,2.27
"SSI",142829,"/Date(1700810943000)/",31600,1000,22858600,710511000000,700,true,2.27
"SSI",142826,"/Date(1700810943000)/",31650,1000,22857600,710479000000,750,false,2.43
"SSI",142826,"/Date(1700810942000)/",31650,700,22856600,710447000000,750,false,2.43
"SSI",142826,"/Date(1700810942000)/",31650,10000,22855900,710425000000,750,false,2.43
"SSI",142826,"/Date(1700810942000)/",31600,100,22845900,710109000000,700,true,2.27
"SSI",142826,"/Date(1700810941000)/",31650,500,22845800,710106000000,750,false,2.43
"SSI",142826,"/Date(1700810940000)/",31650,5000,22845300,710090000000,750,false,2.43
"SSI",142822,"/Date(1700810938000)/",31650,3000,22840300,709932000000,750,false,2.43
"SSI",142822,"/Date(1700810938000)/",31650,200,22837300,709837000000,750,false,2.43
"SSI",142819,"/Date(1700810936000)/",31650,1000,22837100,709830000000,750,false,2.43
"SSI",142819,"/Date(1700810936000)/",31650,100,22836100,709799000000,750,false,2.43
"SSI",142819,"/Date(1700810936000)/",31600,3200,22836000,709796000000,700,true,2.27
"SSI",142819,"/Date(1700810936000)/",31600,500,22832800,709694000000,700,true,2.27
"SSI",142819,"/Date(1700810936000)/",31600,8000,22832300,709679000000,700,true,2.27
"SSI",142819,"/Date(1700810936000)/",31600,8000,22824300,709426000000,700,true,2.27
"SSI",142819,"/Date(1700810936000)/",31600,300,22816300,709173000000,700,true,2.27
"SSI",142819,"/Date(1700810935000)/",31650,3900,22816000,709164000000,750,false,2.43
"SSI",142819,"/Date(1700810935000)/",31650,5000,22812100,709040000000,750,false,2.43
"SSI",142819,"/Date(1700810934000)/",31650,400,22807100,708882000000,750,false,2.43
"SSI",142819,"/Date(1700810933000)/",31650,1300,22806700,708869000000,750,false,2.43
"SSI",142816,"/Date(1700810933000)/",31600,1000,22805400,708828000000,700,true,2.27
"SSI",142816,"/Date(1700810933000)/",31650,100,22804400,708796000000,750,false,2.43
"SSI",142816,"/Date(1700810933000)/",31600,1900,22804300,708793000000,700,true,2.27
"SSI",142816,"/Date(1700810933000)/",31600,2100,22802400,708733000000,700,true,2.27
"SSI",142816,"/Date(1700810931000)/",31600,3000,22800300,708667000000,700,true,2.27
"SSI",142813,"/Date(1700810928000)/",31650,3000,22797300,708572000000,750,false,2.43
"SSI",142813,"/Date(1700810927000)/",31650,500,22794300,708477000000,750,false,2.43
"SSI",142810,"/Date(1700810925000)/",31650,500,22793800,708461000000,750,false,2.43
