"Stockcode","Package","TradingDate","Price","Vol","TotalVol","TotalVal","Change","IsBuy","PerChange"
"HTE",145959,"/Date(1701417600000)/",4100,2000,6825,27950000,100,true,2.5
"HTE",143029,"/Date(1701415800000)/",4100,200,4825,19750000,100,false,2.5
"HTE",131206,"/Date(1701411120000)/",4200,2,4625,18930000,200,false,5
"HTE",131150,"/Date(1701411120000)/",4200,23,4623,18922000,200,false,5
"HTE",130848,"/Date(1701410940000)/",4200,1600,4600,18830000,200,true,5
"HTE",130710,"/Date(1701410820000)/",4100,1100,3000,12110000,100,false,2.5
"HTE",130010,"/Date(1701410400000)/",4000,100,1900,7600000,0,true,0
"HTE",91806,"/Date(1701397080000)/",4000,700,1800,7200000,0,true,0
"HTE",91659,"/Date(1701397020000)/",4000,200,1100,4400000,0,true,0
"HTE",90131,"/Date(1701396060000)/",4000,300,900,3600000,0,true,0
"HTE",90128,"/Date(1701396060000)/",4000,600,600,2400000,0,true,0
