"Stockcode","Package","TradingDate","Price","Vol","TotalVol","TotalVal","Change","IsBuy","PerChange"
"DTA",144419,"/Date(1701675900000)/",5490,2000,22900,124000000,290,true,5.58
"DTA",142746,"/Date(1701674907000)/",5490,700,20900,113000000,290,false,5.58
"DTA",142746,"/Date(1701674907000)/",5490,1300,20200,110000000,290,false,5.58
"DTA",142249,"/Date(1701674609000)/",5490,200,18900,102000000,290,false,5.58
"DTA",142125,"/Date(1701674525000)/",5360,400,18700,101000000,160,true,3.08
"DTA",142125,"/Date(1701674525000)/",5360,200,18300,99000000,160,true,3.08
"DTA",142125,"/Date(1701674525000)/",5370,900,18100,98000000,170,true,3.27
"DTA",141725,"/Date(1701674286000)/",5360,100,17200,93000000,160,true,3.08
"DTA",141530,"/Date(1701674171000)/",5490,300,17100,93000000,290,false,5.58
"DTA",140051,"/Date(1701673290000)/",5490,200,16800,91000000,290,false,5.58
"DTA",130523,"/Date(1701669958000)/",5500,300,16600,90000000,300,false,5.77
"DTA",130523,"/Date(1701669958000)/",5500,500,16300,88000000,300,false,5.77
"DTA",111513,"/Date(1701663336000)/",5500,900,15800,86000000,300,true,5.77
"DTA",111302,"/Date(1701663206000)/",5500,100,14900,81000000,300,false,5.77
"DTA",111302,"/Date(1701663206000)/",5500,1100,14800,80000000,300,false,5.77
"DTA",111302,"/Date(1701663206000)/",5500,200,13700,74000000,300,false,5.77
"DTA",111302,"/Date(1701663206000)/",5500,1000,13500,73000000,300,false,5.77
"DTA",111302,"/Date(1701663206000)/",5500,400,12500,67000000,300,false,5.77
"DTA",110850,"/Date(1701662952000)/",5500,100,12100,65000000,300,false,5.77
"DTA",110730,"/Date(1701662874000)/",5500,100,12000,65000000,300,false,5.77
"DTA",110730,"/Date(1701662874000)/",5490,300,11900,64000000,290,false,5.58
"DTA",110730,"/Date(1701662874000)/",5480,100,11600,63000000,280,false,5.38
"DTA",110730,"/Date(1701662874000)/",5480,200,11500,62000000,280,false,5.38
"DTA",110730,"/Date(1701662874000)/",5470,300,11300,61000000,270,false,5.19
"DTA",110454,"/Date(1701662715000)/",5480,200,11000,59000000,280,false,5.38
"DTA",110454,"/Date(1701662715000)/",5480,500,10800,58000000,280,false,5.38
"DTA",110454,"/Date(1701662715000)/",5470,100,10300,55000000,270,false,5.19
"DTA",110454,"/Date(1701662715000)/",5470,500,10200,55000000,270,false,5.19
"DTA",110454,"/Date(1701662715000)/",5470,500,9700,52000000,270,false,5.19
"DTA",110454,"/Date(1701662715000)/",5470,100,9200,49000000,270,false,5.19
"DTA",110454,"/Date(1701662715000)/",5470,100,9100,49000000,270,false,5.19
"DTA",110353,"/Date(1701662655000)/",5460,100,9000,48000000,260,true,5
"DTA",110001,"/Date(1701662422000)/",5460,100,8900,48000000,260,false,5
"DTA",110001,"/Date(1701662422000)/",5460,500,8800,47000000,260,false,5
"DTA",94116,"/Date(1701657692000)/",5470,500,8300,44000000,270,true,5.19
"DTA",92102,"/Date(1701656476000)/",5480,2500,7800,42000000,280,false,5.38
"DTA",91733,"/Date(1701656264000)/",5450,100,5300,28000000,250,false,4.81
"DTA",91658,"/Date(1701656230000)/",5440,500,5200,28000000,240,false,4.62
"DTA",91639,"/Date(1701656210000)/",5440,1000,4700,25000000,240,false,4.62
"DTA",91639,"/Date(1701656210000)/",5430,500,3700,19000000,230,false,4.42
"DTA",91539,"/Date(1701656152000)/",5440,2000,3200,17000000,240,false,4.62
"DTA",91449,"/Date(1701656100000)/",5210,1200,1200,6000000,10,false,0.19
