"Stockcode","Package","TradingDate","Price","Vol","TotalVol","TotalVal","Change","IsBuy","PerChange"
"VOC",134558,"/Date(1701672360000)/",21600,9,25441,550581400,-100,true,-0.46
"VOC",130809,"/Date(1701670080000)/",21600,1300,25432,550384600,-100,false,-0.46
"VOC",130518,"/Date(1701669900000)/",21600,1000,24132,522304600,-100,false,-0.46
"VOC",130047,"/Date(1701669600000)/",21600,1900,23132,500704600,-100,true,-0.46
"VOC",110611,"/Date(1701662760000)/",21700,1,21232,459524600,0,true,0
"VOC",110358,"/Date(1701662640000)/",21700,400,21231,459501700,0,true,0
"VOC",105336,"/Date(1701662040000)/",22000,100,20831,450821700,300,false,1.38
"VOC",104541,"/Date(1701661560000)/",21700,800,20731,448621700,0,true,0
"VOC",104406,"/Date(1701661440000)/",21700,700,19931,431261700,0,false,0
"VOC",104348,"/Date(1701661440000)/",21700,10000,19231,416071700,0,false,0
"VOC",104029,"/Date(1701661200000)/",21700,200,9231,199071700,0,false,0
"VOC",103956,"/Date(1701661200000)/",21700,1000,9031,194731700,0,false,0
"VOC",103926,"/Date(1701661140000)/",21600,300,8031,173031700,-100,true,-0.46
"VOC",103446,"/Date(1701660900000)/",21500,200,7731,166551700,-200,true,-0.92
"VOC",101919,"/Date(1701659940000)/",21500,100,7531,162251700,-200,true,-0.92
"VOC",101647,"/Date(1701659820000)/",21500,300,7431,160101700,-200,false,-0.92
"VOC",101335,"/Date(1701659640000)/",21500,100,7131,153651700,-200,false,-0.92
"VOC",101230,"/Date(1701659580000)/",21500,200,7031,151501700,-200,false,-0.92
"VOC",101017,"/Date(1701659400000)/",21500,400,6831,147201700,-200,false,-0.92
"VOC",100541,"/Date(1701659160000)/",21700,200,6431,138601700,0,false,0
"VOC",100520,"/Date(1701659100000)/",21600,1000,6231,134261700,-100,false,-0.46
"VOC",100316,"/Date(1701658980000)/",21500,30,5231,112661700,-200,true,-0.92
"VOC",100124,"/Date(1701658860000)/",21500,200,5201,112012500,-200,false,-0.92
"VOC",100117,"/Date(1701658860000)/",21500,500,5001,107712500,-200,false,-0.92
"VOC",95807,"/Date(1701658680000)/",21500,100,4501,96962500,-200,false,-0.92
"VOC",95034,"/Date(1701658260000)/",21500,800,4401,94812500,-200,false,-0.92
"VOC",94334,"/Date(1701657840000)/",21600,100,3601,77612500,-100,true,-0.46
"VOC",93940,"/Date(1701657600000)/",21600,100,3501,75452500,-100,false,-0.46
"VOC",93904,"/Date(1701657540000)/",21600,100,3401,73292500,-100,false,-0.46
"VOC",93844,"/Date(1701657540000)/",21600,600,3301,71132500,-100,false,-0.46
"VOC",93256,"/Date(1701657180000)/",21500,1,2701,58172500,-200,true,-0.92
"VOC",93142,"/Date(1701657120000)/",21500,100,2700,58150000,-200,false,-0.92
"VOC",92944,"/Date(1701657000000)/",21500,500,2600,56000000,-200,false,-0.92
"VOC",92612,"/Date(1701656760000)/",21500,1400,2100,45250000,-200,true,-0.92
"VOC",92201,"/Date(1701656520000)/",21600,700,700,15120000,-100,true,-0.46
