"Stockcode","Package","TradingDate","Price","Vol","TotalVol","TotalVal","Change","IsBuy","PerChange"
"TTN",142409,"/Date(1701761040000)/",7500,1000,61300,460290000,0,false,0
"TTN",142312,"/Date(1701760980000)/",7500,4000,60300,452790000,0,true,0
"TTN",142052,"/Date(1701760860000)/",7500,200,56300,422790000,0,true,0
"TTN",142002,"/Date(1701760800000)/",7500,8000,56100,421290000,0,true,0
"TTN",135732,"/Date(1701759480000)/",7500,400,48100,361290000,0,true,0
"TTN",135641,"/Date(1701759420000)/",7500,100,47700,358290000,0,true,0
"TTN",135631,"/Date(1701759420000)/",7500,100,47600,357540000,0,true,0
"TTN",135621,"/Date(1701759360000)/",7500,100,47500,356790000,0,true,0
"TTN",135611,"/Date(1701759360000)/",7500,100,47400,356040000,0,true,0
"TTN",135558,"/Date(1701759360000)/",7500,100,47300,355290000,0,true,0
"TTN",134757,"/Date(1701758880000)/",7500,1600,47200,354540000,0,true,0
"TTN",134109,"/Date(1701758460000)/",7500,500,45600,342540000,0,true,0
"TTN",133729,"/Date(1701758220000)/",7500,100,45100,338790000,0,true,0
"TTN",130637,"/Date(1701756420000)/",7500,1000,45000,338040000,0,true,0
"TTN",130443,"/Date(1701756300000)/",7500,1000,44000,330540000,0,true,0
"TTN",130422,"/Date(1701756240000)/",7500,1000,43000,323040000,0,true,0
"TTN",130048,"/Date(1701756000000)/",7500,1000,42000,315540000,0,true,0
"TTN",103145,"/Date(1701747120000)/",7500,14100,41000,308040000,0,true,0
"TTN",95642,"/Date(1701745020000)/",7500,3000,26900,202290000,0,true,0
"TTN",94851,"/Date(1701744540000)/",7500,100,23900,179790000,0,true,0
"TTN",94704,"/Date(1701744420000)/",7500,5000,23800,179040000,0,true,0
"TTN",94625,"/Date(1701744360000)/",7600,4200,18800,141540000,100,false,1.33
"TTN",94445,"/Date(1701744300000)/",7500,5000,14600,109620000,0,true,0
"TTN",94337,"/Date(1701744240000)/",7600,500,9600,72120000,100,false,1.33
"TTN",92730,"/Date(1701743280000)/",7600,100,9100,68320000,100,false,1.33
"TTN",92501,"/Date(1701743100000)/",7500,4400,9000,67560000,0,true,0
"TTN",92220,"/Date(1701742920000)/",7500,3000,4600,34560000,0,true,0
"TTN",91845,"/Date(1701742740000)/",7600,300,1600,12060000,100,false,1.33
"TTN",91821,"/Date(1701742680000)/",7600,200,1300,9780000,100,false,1.33
"TTN",90700,"/Date(1701742020000)/",7600,100,1100,8260000,100,true,1.33
"TTN",90225,"/Date(1701741660000)/",7500,500,1000,7500000,0,false,0
"TTN",90157,"/Date(1701741600000)/",7500,300,500,3750000,0,false,0
"TTN",90052,"/Date(1701741600000)/",7500,200,200,1500000,0,false,0
