"Stockcode","Package","TradingDate","Price","Vol","TotalVol","TotalVal","Change","IsBuy","PerChange"
"BWE",144423,"/Date(1701848700000)/",43000,8400,53100,2268000000,300,false,0.7
"BWE",142757,"/Date(1701847714000)/",42700,1400,44700,1907000000,0,true,0
"BWE",142342,"/Date(1701847456000)/",42700,400,43300,1847000000,0,true,0
"BWE",142339,"/Date(1701847455000)/",42950,200,42900,1830000000,250,false,0.59
"BWE",142339,"/Date(1701847455000)/",42900,200,42700,1821000000,200,false,0.47
"BWE",142339,"/Date(1701847455000)/",42800,400,42500,1813000000,100,false,0.23
"BWE",142339,"/Date(1701847455000)/",42800,200,42100,1796000000,100,false,0.23
"BWE",142339,"/Date(1701847455000)/",42750,400,41900,1787000000,50,false,0.12
"BWE",142316,"/Date(1701847430000)/",42700,400,41500,1770000000,0,false,0
"BWE",142053,"/Date(1701847288000)/",42700,100,41100,1753000000,0,false,0
"BWE",141952,"/Date(1701847226000)/",42650,100,41000,1749000000,-50,true,-0.12
"BWE",141348,"/Date(1701846863000)/",42600,100,40900,1744000000,-100,true,-0.23
"BWE",141348,"/Date(1701846863000)/",42600,100,40800,1740000000,-100,true,-0.23
"BWE",141348,"/Date(1701846863000)/",42600,700,40700,1736000000,-100,true,-0.23
"BWE",141348,"/Date(1701846863000)/",42600,100,40000,1706000000,-100,true,-0.23
"BWE",140150,"/Date(1701846142000)/",42550,700,39900,1702000000,-150,true,-0.35
"BWE",140150,"/Date(1701846142000)/",42600,100,39200,1672000000,-100,false,-0.23
"BWE",135816,"/Date(1701845927000)/",42550,100,39100,1668000000,-150,true,-0.35
"BWE",135816,"/Date(1701845927000)/",42550,100,39000,1664000000,-150,true,-0.35
"BWE",135812,"/Date(1701845926000)/",42650,300,38900,1659000000,-50,true,-0.12
"BWE",135737,"/Date(1701845889000)/",42700,200,38600,1647000000,0,false,0
"BWE",135601,"/Date(1701845795000)/",42650,5000,38400,1638000000,-50,false,-0.12
"BWE",135601,"/Date(1701845795000)/",42650,1000,33400,1425000000,-50,false,-0.12
"BWE",135601,"/Date(1701845795000)/",42650,500,32400,1382000000,-50,false,-0.12
"BWE",135601,"/Date(1701845795000)/",42650,200,31900,1361000000,-50,false,-0.12
"BWE",135601,"/Date(1701845795000)/",42600,500,31700,1352000000,-100,false,-0.23
"BWE",135601,"/Date(1701845795000)/",42600,500,31200,1331000000,-100,false,-0.23
"BWE",135237,"/Date(1701845588000)/",42600,800,30700,1310000000,-100,false,-0.23
"BWE",135032,"/Date(1701845466000)/",42600,200,29900,1276000000,-100,false,-0.23
"BWE",134728,"/Date(1701845281000)/",42600,100,29700,1267000000,-100,false,-0.23
"BWE",134649,"/Date(1701845241000)/",42600,100,29600,1263000000,-100,true,-0.23
"BWE",134649,"/Date(1701845241000)/",42600,100,29500,1259000000,-100,true,-0.23
"BWE",133633,"/Date(1701844624000)/",42650,100,29400,1254000000,-50,false,-0.12
"BWE",133533,"/Date(1701844564000)/",42650,200,29300,1250000000,-50,false,-0.12
"BWE",133533,"/Date(1701844564000)/",42650,500,29100,1241000000,-50,false,-0.12
"BWE",133533,"/Date(1701844564000)/",42650,300,28600,1220000000,-50,false,-0.12
"BWE",133143,"/Date(1701844334000)/",42550,100,28300,1207000000,-150,true,-0.35
"BWE",133143,"/Date(1701844334000)/",42550,200,28200,1203000000,-150,true,-0.35
"BWE",133101,"/Date(1701844293000)/",42650,4200,28000,1195000000,-50,false,-0.12
"BWE",133101,"/Date(1701844293000)/",42600,800,23800,1015000000,-100,false,-0.23
"BWE",133004,"/Date(1701844235000)/",42550,100,23000,981000000,-150,true,-0.35
"BWE",133004,"/Date(1701844235000)/",42550,200,22900,977000000,-150,true,-0.35
"BWE",133004,"/Date(1701844235000)/",42550,100,22700,969000000,-150,true,-0.35
"BWE",133004,"/Date(1701844235000)/",42550,100,22600,964000000,-150,true,-0.35
"BWE",132747,"/Date(1701844097000)/",42600,100,22500,960000000,-100,true,-0.23
"BWE",132747,"/Date(1701844097000)/",42600,100,22400,956000000,-100,true,-0.23
"BWE",131926,"/Date(1701843595000)/",42600,200,22300,952000000,-100,true,-0.23
"BWE",131926,"/Date(1701843595000)/",42600,100,22100,943000000,-100,true,-0.23
"BWE",131926,"/Date(1701843595000)/",42600,100,22000,939000000,-100,true,-0.23
"BWE",131926,"/Date(1701843595000)/",42600,100,21900,935000000,-100,true,-0.23
"BWE",131901,"/Date(1701843571000)/",42600,500,21800,930000000,-100,true,-0.23
"BWE",130849,"/Date(1701842959000)/",42650,100,21300,909000000,-50,false,-0.12
"BWE",130032,"/Date(1701842460000)/",42650,100,21200,905000000,-50,true,-0.12
"BWE",130032,"/Date(1701842460000)/",42650,5000,21100,900000000,-50,true,-0.12
"BWE",130032,"/Date(1701842460000)/",42650,200,16100,687000000,-50,true,-0.12
"BWE",130032,"/Date(1701842460000)/",42650,100,15900,679000000,-50,true,-0.12
"BWE",130000,"/Date(1701842404000)/",42650,100,15800,674000000,-50,false,-0.12
"BWE",125947,"/Date(1701842401000)/",42650,100,15700,670000000,-50,true,-0.12
"BWE",125947,"/Date(1701842401000)/",42650,100,15600,666000000,-50,true,-0.12
"BWE",125947,"/Date(1701842401000)/",42650,100,15500,662000000,-50,true,-0.12
"BWE",111954,"/Date(1701836412000)/",42650,100,15400,657000000,-50,true,-0.12
"BWE",111954,"/Date(1701836412000)/",42650,100,15300,653000000,-50,true,-0.12
"BWE",111954,"/Date(1701836412000)/",42650,100,15200,649000000,-50,true,-0.12
"BWE",111702,"/Date(1701836241000)/",42650,100,15100,645000000,-50,true,-0.12
"BWE",111419,"/Date(1701836078000)/",42700,200,15000,640000000,0,true,0
"BWE",110355,"/Date(1701835452000)/",42650,100,14800,632000000,-50,true,-0.12
"BWE",105636,"/Date(1701835013000)/",42700,500,14700,627000000,0,false,0
"BWE",105636,"/Date(1701835013000)/",42700,3700,14200,606000000,0,false,0
"BWE",105623,"/Date(1701834999000)/",42650,100,10500,448000000,-50,true,-0.12
"BWE",104844,"/Date(1701834539000)/",42650,100,10400,444000000,-50,true,-0.12
"BWE",104555,"/Date(1701834369000)/",42700,100,10300,440000000,0,false,0
"BWE",104439,"/Date(1701834293000)/",42700,100,10200,435000000,0,false,0
"BWE",104439,"/Date(1701834293000)/",42700,300,10100,431000000,0,false,0
"BWE",104439,"/Date(1701834293000)/",42700,800,9800,418000000,0,false,0
"BWE",104303,"/Date(1701834199000)/",42800,100,9000,384000000,100,false,0.23
"BWE",104254,"/Date(1701834190000)/",42800,100,8900,380000000,100,false,0.23
"BWE",104109,"/Date(1701834082000)/",42800,100,8800,376000000,100,false,0.23
"BWE",104043,"/Date(1701834058000)/",42800,100,8700,371000000,100,false,0.23
"BWE",104011,"/Date(1701834028000)/",42800,100,8600,367000000,100,false,0.23
"BWE",103425,"/Date(1701833680000)/",42750,100,8500,363000000,50,false,0.12
"BWE",103114,"/Date(1701833487000)/",42750,1000,8400,358000000,50,false,0.12
"BWE",102605,"/Date(1701833177000)/",42700,1200,7400,316000000,0,true,0
"BWE",102605,"/Date(1701833177000)/",42700,200,6200,264000000,0,true,0
"BWE",102605,"/Date(1701833177000)/",42700,100,6000,256000000,0,true,0
"BWE",102602,"/Date(1701833176000)/",42700,100,5900,252000000,0,true,0
"BWE",102005,"/Date(1701832819000)/",42750,500,5800,247000000,50,false,0.12
